Class_Id,uuid,Name,Course Name,URL Used,Semester,Sample,Education Level,Lecture,Notes,Code 1,Code 2,Code 3,Code 4,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,Soheil Feizi,Foundations of Deep Learning,https://www.cs.umd.edu/class/spring2024/cmsc720/,24-SP,CMSC 720_ Foundations of Deep Learning.pdf,undergraduate,1,Deep Classification Basics,other->ml,,,,
1,,,,,,,undergraduate,2,Transformers and Vision Transformer,other->ml,,,,
1,,,,,,,undergraduate,3,Variational AutoEncoders,other->ml,,,,
1,,,,,,,undergraduate,4,Generative Adversarial Networks,other->ml,,,,
1,,,,,,,undergraduate,5,Normalizing Flows,other->ml,,,,
1,,,,,,,undergraduate,6,Diffusion Models,other->ml,,,,
1,,,,,,,undergraduate,7,Encoder/Decoder Models,other->ml,,,,
1,,,,,,,undergraduate,8,Training/Fine-tuning Language Models,other->ml,,,,
1,,,,,,,undergraduate,9,"In-context Learning, Chain of Thoughts, Reasoning",other->ml,,,,
1,,,,,,,undergraduate,10,Vision Language Models,other->ml,,,,
1,,,,,,,undergraduate,11,Compositionality Issues in Vision Language Models,other->ml,,,,
1,,,,,,,undergraduate,12,Spurious Correlation Issues in Deep Models,other->ml,,,,
1,,,,,,,undergraduate,13,Adversarial Attacks and Defenses on Vision Models,security->evasion->attack,security->evasion->defense,architecture->vm,,
1,,,,,,,undergraduate,14,Adversarial Attacks and Defenses on Large Language Models,security->evasion->attack,security->evasion->defense,architecture->llm/foundation,,
1,,,,,,,undergraduate,15,Poisoning Attacks and Defenses on Vision Models,security->poisoning->general->attack,security->poisoning->backdorr->attack,architecture->vm,,
1,,,,,,,undergraduate,16,Poisoning Attacks and Defenses on Large Language Models,security->poisoning->general->attack,security->poisoning->backdorr->attack,architecture->llm/foundation,,
1,,,,,,,undergraduate,17,Detection of AI-generated Text,safety,,,,
1,,,,,,,undergraduate,18,Detection of AI-generated Images,safety,,,,
1,,,,,,,undergraduate,19,Data Extraction from Vision/Langauge Models,Privacy->Data Extraction/Data Reconstruction/Model Inversion,,,,
1,,,,,,,undergraduate,20,Model Editing,Privacy->Model Editing,,,,
1,,,,,,,undergraduate,21,Neural tangent kernels,other->ml,,,,
1,,,,,,,undergraduate,22,self-supervisied and meta learning,other->ml,,,,
1,,,,,,,undergraduate,23,deep learning explainability,other->ml,,,,
2,,Soheil Feizi,Introduction to Machine Learning,https://www.cs.umd.edu/class/spring2022/cmsc422/,22-SP,CMSC 422 (Section 0201)_ Introduction to Machine Learning.pdf,undergraduate,1,welcome to machine learning,other->ml,,,,
2,,,,,,,undergraduate,2,decision trees,other->ml,,,,
2,,,,,,,undergraduate,3,nearest neighbor classification,other->ml,,,,
2,,,,,,,undergraduate,4,perceptron,other->ml,,,,
2,,,,,,,undergraduate,5,convergence analysis of perceptron,other->ml,,,,
2,,,,,,,undergraduate,6,"linear classifiers, gradient descent and hinge loss",other->ml,,,,
2,,,,,,,undergraduate,7,gradient descent part 2,other->ml,,,,
2,,,,,,,undergraduate,8,probabilistic view of ml,other->ml,,,,
2,,,,,,,undergraduate,9,"review of probability, linear algebra, and convex analysis",other->ml,,,,
