Class_Id,Name,uuid,Course Name,Education Level,URL Used,Semester,IRR,Sample,Lecture,Notes,Code 1,Code 2,Code 3,Code 4,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Yang Zhang,Attacks Against Machine Learning Models25-SP,Attacks Against Machine Learning Models,graduate,https://cms.cispa.saarland/amlm2025/,25-SP,recoded,Attacks-Against-Machine-Learning Models25-SP,1,membership inference,privacy->membership inference,,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,2,poisoning,poisoning,,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,3,adversarial example,security->evasion,,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,4,Plot + MLDoctor + SecurityNet,other->network security,,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,5,Jailbreak + GPTs,security->jailbreak->attack,architecture->generative ai,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,6,Safety of VLM,safety,architecture->generative ai,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,7,Deepfake detection,safety->deepfake->defense,,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,8,prompt injection,security->prompt injection->attack,architecture->llm/foundation,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,9,prompt stealing,privacy->prompt stealing->attack,architecture->llm/foundation,,,
1,Yang Zhang,,Attacks Against Machine Learning Models,graduate,,,,,10,Agent + Simlife,other->ml,,,,
2,Yang Zhang,Privacy of Machine Learning24-WT,Privacy of Machine Learning,graduate,https://cms.cispa.saarland/pml2425/,24-WT,TRUE,Privacy of Machine Learning24-WT,1,Data Importance,valid,security,privacy,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,2,membership inference attack against in-context learning,privacy->membership inference,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,3,Sequential-Metric Based membership inference attack,privacy->membership inference,,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,4,Prompt Leaking Attacks,privacy->prompt stealing->attack,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,5,detecting pretraining data from llm,privacy->Data Extraction/Data Reconstruction/Model Inversion,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,6,general framework for data-use auditing of ML models,privacy->membership inference,,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,7,privacy backdoors,privacy->data->data reconstruction/model inversion,security->poisoning->backdoor,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,8,quantifying privacy risks of prompt,pirvacy->data->property inference,privacy->membership inference,architecture->llm/foundation,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,9,fine-tuing in llm applifies the privacy risks,privacy->Data Extraction/Data Reconstruction/Model Inversion,architecture->llm/foundation,,,
2,Yang Zhang,,Privacy of Machine Learning,graduate,,,,,10,probing privacy leakage in llm,privacy->Data Extraction/Data Reconstruction/Model Inversion,architecture->llm/foundation,,,
