Class_Id,University,uuid,Course Name,URL Used,Semester,Sample,Education Level,Lecture,Notes,Code 1,Code 2,Code 3,Code 4,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Purdue,Introduction to Artificial Intelligence24-SP,Introduction to Artificial Intelligence,CS47100: Introduction to Artificial Intelligence (Spring 2024),24-SP,Introduction to Artificial Intelligence24-SP.pdf,undergraduate,1,introduction & overview,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,2,AI representation,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,3,holiday,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,4,problem formulation,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,5,uniformed search,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,6,informed search,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,7,local search,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,8,minimax adversarial search,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,9,alpha-beta pruning adversarial search,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,10,CSP-I: probelm formulation and Inference,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,11,CSP-II: backtracking and local search,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,12,propositional logic,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,13,propositional theorem proving,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,14,first order logic semantics,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,15,first order logic inference,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,16,probability and uncertainty,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,17,midterm review,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,18,no class,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,19,exam,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,20,spring break,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,21,spring break,none,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,22,bayesian networks-I: representation and semantics,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,23,bayesian networks-II: independence,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,24,bayesian networks-III: inference,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,25,markov decision process-I: problem formulation,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,26,markov decision process-II: valua iteration,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,27,markov decision process-III: Policy Iteration,other->ml,,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,28,reinforcement learning-I: problem formulation,other->ml,architecture->rl,,,,
1,,,Introduction to Artificial Intelligence,,,,undergraduate,29,reinforcement learning-II: Q-Learning,other->ml,architecture->rl,,,,
