Class_Id,code_parts,count
1.0,Data Extraction/Data Reconstruction/Model Inversion,1
1.0,Model Editing,1
1.0,Privacy,2
1.0,architecture,4
1.0,attack,6
1.0,backdorr,2
1.0,defense,2
1.0,evasion,4
1.0,general,2
1.0,llm/foundation,2
1.0,ml,15
1.0,other,15
1.0,poisoning,4
1.0,safety,2
1.0,security,8
1.0,vm,2
2.0,attack,1
2.0,evasion,1
2.0,ml,27
2.0,other,27
2.0,security,1
3.0,architecture,1
3.0,attack,2
3.0,backdoor,1
3.0,cps,1
3.0,explainability,1
3.0,jailbreak,1
3.0,llm/foundation,1
3.0,ml,16
3.0,none,8
3.0,other,17
3.0,poisoning,1
3.0,privacy,1
3.0,safety,1
3.0,security,1
3.0,trustworthy,1
4.0,ml,20
4.0,other,20
5.0,certified,2
5.0,defense,3
5.0,differential privacy,1
5.0,evasion,2
5.0,fairness,2
5.0,federated learning,1
5.0,ml,3
5.0,other,3
5.0,privacy,4
5.0,safety,1
5.0,security,4
5.0,threat model,1
5.0,trustworthy,1
6.0,ml,15
6.0,other,15
6.0,security,1
7.0,attack,2
7.0,backdoor,1
7.0,certified,1
7.0,defense,3
7.0,evasion,3
7.0,explainability,1
7.0,general,1
7.0,heuristic,1
7.0,poisoning,2
7.0,privacy,4
7.0,safety,1
7.0,security,8
8.0,ml,21
8.0,none,10
8.0,other,21
8.0,privacy,1
8.0,security,1
9.0,gpu,3
9.0,ml,21
9.0,none,6
9.0,other,24
10.0,ml,27
10.0,none,2
10.0,other,27
11.0,ml,12
11.0,other,12
12.0,architecture,1
12.0,attack,1
12.0,certified,1
12.0,defense,2
12.0,evasion,3
12.0,graph-nn,1
12.0,ml,14
12.0,other,14
12.0,safety,2
12.0,security,3
13.0,cv,5
13.0,ml,20
13.0,none,4
13.0,other,25
14.0,Data Extraction/Data Reconstruction/Model Inversion,1
14.0,attack,6
14.0,availability,1
14.0,certified,1
14.0,defense,2
14.0,differential privacy,1
14.0,evasion,2
14.0,explainability,1
14.0,fairness,1
14.0,knowledge-black-box,1
14.0,machine unlearning,1
14.0,membership inference,1
14.0,none,3
14.0,poisoning,1
14.0,privacy,7
14.0,security,3
14.0,stealing,1
14.0,valid,2
15.0,access control,2
15.0,crypto,8
15.0,data privacy,2
15.0,general ml & security,2
15.0,lab,2
15.0,network sec,1
15.0,none,8
15.0,other,22
15.0,sec,5
15.0,software sec,1
15.0,web sec,1
16.0,ml,22
16.0,none,7
16.0,other,22
16.0,privacy,3
16.0,security,3
17.0,attack,6
17.0,backdoor,2
17.0,certified,1
17.0,defense,5
17.0,evasion,5
17.0,federated learning,1
17.0,heuristic,1
17.0,none,5
17.0,poisoning,4
17.0,privacy,3
17.0,security,11
17.0,threat model,1
18.0,ethics,1
18.0,ml,12
18.0,other,13
19.0,ml,24
19.0,other,24
20.0,ethics,1
20.0,ml,27
20.0,other,28
21.0,ml,30
21.0,none,2
21.0,other,30
22.0,ml,27
22.0,none,1
22.0,other,27
23.0,ml,16
23.0,none,1
23.0,other,16
24.0,ml,13
24.0,other,13
25.0,ml,20
25.0,none,1
25.0,other,20
26.0,ml,33
26.0,none,6
26.0,other,33
27.0,ml,18
27.0,other,18
28.0,ml,21
28.0,none,9
28.0,other,21
29.0,none,5
29.0,other,25
29.0,program verifcation,25
30.0,ml,7
30.0,other,7
31.0,defense,1
31.0,general,1
31.0,ml,22
31.0,none,1
31.0,other,22
31.0,poisoning,1
31.0,security,1
32.0,architecture,1
32.0,defense,2
32.0,jailbreak,1
32.0,llm/foundation,1
32.0,ml,10
32.0,none,2
32.0,other,10
32.0,prompt injection,1
32.0,security,3
33.0,Data Extraction/Data Reconstruction/Model Inversion,1
33.0,Stealing/Model Extraction,1
33.0,attack,4
33.0,general,1
33.0,interpretability,1
33.0,jailbreak,1
33.0,ml,6
33.0,none,3
33.0,other,6
33.0,poisoning,1
33.0,privacy,2
33.0,safety,3
33.0,security,2
33.0,trustworthy,1
34.0,Data Extraction/Data Reconstruction/Model Inversion,1
34.0,architecture,1
34.0,attack,4
34.0,evasion,1
34.0,fairness,1
34.0,federated learning,1
34.0,general,1
34.0,general ml & security,1
34.0,llm/foundation,1
34.0,membership inference,1
34.0,ml,8
34.0,none,2
34.0,other,8
34.0,poisoning,1
34.0,privacy,3
34.0,safety,1
34.0,security,3
35.0,ml,13
35.0,other,13
36.0,Data Extraction/Data Reconstruction/Model Inversion,1
36.0,Privacy,1
36.0,Stealing/Model Extraction,2
36.0,attack,1
36.0,defense,1
36.0,differential privacy,1
36.0,explainability,1
36.0,fairness,1
36.0,federated learning,1
36.0,membership inference,1
36.0,none,3
36.0,privacy,6
36.0,security,2
36.0,trustworthy,2
36.0,valid,1
37.0,ml,24
37.0,none,2
37.0,other,24
38.0,architecture,1
38.0,llm/foundation,1
