Class_Id,code_parts,count
1,ml,28
1,other,28
2,none,1
2,other,28
2,sec,28
3,ml,12
3,none,2
3,other,12
4,none,7
4,other,20
4,sec,20
5,ml,27
5,none,3
5,other,27
6,none,7
6,other,25
6,sec,25
7,fairness,1
7,ml,24
7,other,24
7,privacy,1
7,security,1
8,ml,26
8,none,2
8,other,26
9,ml,11
9,other,11
10,ml,27
10,none,5
10,other,27
11,cryptography,9
11,fairness,1
11,human factor,3
11,network sec,1
11,none,8
11,other,35
11,privacy,1
11,sec,4
11,security,1
11,software sec,11
11,system sec,4
11,web sec,3
12,differential privacy,1
12,none,9
12,other,20
12,privacy,1
12,sec,20
13,network sec,7
13,none,2
13,other,11
13,sec,1
13,system sec,3
14,ml,13
14,other,13
15,ml,26
15,none,3
15,other,26
16,general ml & security,1
16,none,3
16,other,24
16,sec,24
17,none,1
17,other,19
17,sec,19
18,ml,20
18,none,6
18,other,20
19,explainability,1
19,ml,17
19,none,2
19,other,17
20,none,12
20,other,20
20,sec,20
21,ml,18
21,none,6
21,other,18
22,ml,11
22,none,2
22,other,11
23,ml,26
23,none,6
23,other,26
24,none,6
24,other,22
24,sec,22
25,ml,25
25,other,25
26,ml,31
26,none,2
26,other,31
27,ml,24
27,none,4
27,other,24
28,other,10
28,sec,10
29,other,12
29,sec,12
30,other,14
30,sec,14
31,ml,11
31,none,2
31,other,11
32,ml,12
32,none,2
32,other,12
33,ethics,1
33,ml,12
33,none,2
33,other,13
34,explainability,1
34,fairness,1
34,ml,30
34,none,15
34,other,30
35,ml,28
35,none,3
35,other,28
36,none,3
36,other,28
36,sec,28
37,deepfake,1
37,ml,1
37,none,2
37,other,13
37,safety,1
37,sec,12
37,security,1
