uuid,title,abstract,response
aaai_2023_0,"Thirty-Seventh AAAI Conference on Artificial Intelligence, AAAI 2023, Thirty-Fifth Conference on Innovative Applications of Artificial Intelligence, IAAI 2023, Thirteenth Symposium on Educational Advances in Artificial Intelligence, EAAI 2023, Washington, DC, USA, February 7-14, 2023.",,No
aaai_2023_1,Back to the Future: Toward a Hybrid Architecture for Ad Hoc Teamwork.,,No
aaai_2023_2,Reducing ANN-SNN Conversion Error through Residual Membrane Potential.,,No
aaai_2023_3,Hierarchical ConViT with Attention-Based Relational Reasoner for Visual Analogical Reasoning.,,No
aaai_2023_4,Deep Spiking Neural Networks with High Representation Similarity Model Visual Pathways of Macaque and Mouse.,,No
aaai_2023_5,A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks.,,No
aaai_2023_6,"A Machine with Short-Term, Episodic, and Semantic Memory Systems.",,No
aaai_2023_7,Persuasion Strategies in Advertisements.,,No
aaai_2023_8,Intensity-Aware Loss for Dynamic Facial Expression Recognition in the Wild.,,No
aaai_2023_9,AVCAffe: A Large Scale Audio-Visual Dataset of Cognitive Load and Affect for Remote Work.,,No
aaai_2023_10,ESL-SNNs: An Evolutionary Structure Learning Strategy for Spiking Neural Networks.,,No
aaai_2023_11,Zero-Shot Linear Combinations of Grounded Social Interactions with Linear Social MDPs.,,No
aaai_2023_12,Complex Dynamic Neurons Improved Spiking Transformer Network for Efficient Automatic Speech Recognition.,,No
aaai_2023_13,Self-Supervised Graph Learning for Long-Tailed Cognitive Diagnosis.,,No
aaai_2023_14,CMNet: Contrastive Magnification Network for Micro-Expression Recognition.,,No
aaai_2023_15,Disentangling Reafferent Effects by Doing Nothing.,,No
aaai_2023_16,Learning Temporal-Ordered Representation for Spike Streams Based on Discrete Wavelet Transforms.,,No
aaai_2023_17,ScatterFormer: Locally-Invariant Scattering Transformer for Patient-Independent Multispectral Detection of Epileptiform Discharges.,,No
aaai_2023_18,Progress and Limitations of Deep Networks to Recognize Objects in Unusual Poses.,,No
aaai_2023_19,Denoising after Entropy-Based Debiasing a Robust Training Method for Dataset Bias with Noisy Labels.,,No
aaai_2023_20,Rethinking Interpretation: Input-Agnostic Saliency Mapping of Deep Visual Classifiers.,,No
aaai_2023_21,Deep Digging into the Generalization of Self-Supervised Monocular Depth Estimation.,,No
aaai_2023_22,Self-Contrastive Learning: Single-Viewed Supervised Contrastive Framework Using Sub-network.,,No
aaai_2023_23,Layout Representation Learning with Spatial and Structural Hierarchies.,,No
aaai_2023_24,Cross-Modal Label Contrastive Learning for Unsupervised Audio-Visual Event Localization.,,No
aaai_2023_25,Multi-Level Compositional Reasoning for Interactive Instruction Following.,,No
aaai_2023_26,Self-Supervised Image Local Forgery Detection by JPEG Compression Trace.,,No
aaai_2023_27,VASR: Visual Analogies of Situation Recognition.,,No
aaai_2023_28,Parametric Surface Constrained Upsampler Network for Point Cloud.,,No
aaai_2023_29,Explicit Invariant Feature Induced Cross-Domain Crowd Counting.,,No
aaai_2023_30,Painterly Image Harmonization in Dual Domains.,,No
aaai_2023_31,MMTN: Multi-Modal Memory Transformer Network for Image-Report Consistent Medical Report Generation.,,No
aaai_2023_32,KT-Net: Knowledge Transfer for Unpaired 3D Shape Completion.,,No
aaai_2023_33,Deconstructed Generation-Based Zero-Shot Model.,,No
aaai_2023_34,Tracking and Reconstructing Hand Object Interactions from Point Cloud Sequences in the Wild.,,No
aaai_2023_35,Amodal Instance Segmentation via Prior-Guided Expansion.,,No
aaai_2023_36,SwinRDM: Integrate SwinRNN with Diffusion Model towards High-Resolution and High-Quality Weather Forecasting.,,No
aaai_2023_37,Take Your Model Further: A General Post-refinement Network for Light Field Disparity Estimation via BadPix Correction.,,No
aaai_2023_38,Improving Dynamic HDR Imaging with Fusion Transformer.,,No
aaai_2023_39,Self-Supervised Joint Dynamic Scene Reconstruction and Optical Flow Estimation for Spiking Camera.,,No
aaai_2023_40,Bidirectional Optical Flow NeRF: High Accuracy and High Quality under Fewer Views.,,No
aaai_2023_41,Scalable Spatial Memory for Scene Rendering and Navigation.,,No
aaai_2023_42,Hybrid CNN-Transformer Feature Fusion for Single Image Deraining.,,No
aaai_2023_43,MGFN: Magnitude-Contrastive Glance-and-Focus Network for Weakly-Supervised Video Anomaly Detection.,,No
aaai_2023_44,Tagging before Alignment: Integrating Multi-Modal Tags for Video-Text Retrieval.,,No
aaai_2023_45,DUET: Cross-Modal Semantic Grounding for Contrastive Zero-Shot Learning.,,No
aaai_2023_46,Imperceptible Adversarial Attack via Invertible Neural Networks.,,No
aaai_2023_47,Cross-Modality Person Re-identification with Memory-Based Contrastive Embedding.,,No
aaai_2023_48,User-Controllable Arbitrary Style Transfer via Entropy Regularization.,,No
aaai_2023_49,Neural Architecture Search for Wide Spectrum Adversarial Robustness.,,No
aaai_2023_50,Adversarial Alignment for Source Free Object Detection.,,No
aaai_2023_51,Weakly Supervised 3D Multi-Person Pose Estimation for Large-Scale Scenes Based on Monocular Camera and Single LiDAR.,,No
aaai_2023_52,OctFormer: Efficient Octree-Based Transformer for Point Cloud Compression with Local Enhancement.,,No
aaai_2023_53,Dual-Domain Attention for Image Deblurring.,,No
aaai_2023_54,Multi-Resolution Monocular Depth Map Fusion by Self-Supervised Gradient-Based Composition.,,No
aaai_2023_55,Improving Crowded Object Detection via Copy-Paste.,,No
aaai_2023_56,Defending Backdoor Attacks on Vision Transformer via Patch Processing.,,No
aaai_2023_57,Head-Free Lightweight Semantic Segmentation with Linear Transformer.,,No
aaai_2023_58,Hierarchical Contrast for Unsupervised Skeleton-Based Action Representation Learning.,,No
aaai_2023_59,Exploring Tuning Characteristics of Ventral Stream's Neurons for Few-Shot Image Classification.,,No
aaai_2023_60,Incremental-DETR: Incremental Few-Shot Object Detection via Self-Supervised Learning.,,No
aaai_2023_61,PeCo: Perceptual Codebook for BERT Pre-training of Vision Transformers.,,No
aaai_2023_62,Domain-General Crowd Counting in Unseen Scenarios.,,No
aaai_2023_63,Few-Shot Defect Image Generation via Defect-Aware Feature Manipulation.,,No
aaai_2023_64,Frido: Feature Pyramid Diffusion for Complex Scene Image Synthesis.,,No
aaai_2023_65,Target-Free Text-Guided Image Manipulation.,,No
aaai_2023_66,One Is All: Bridging the Gap between Neural Radiance Fields Architectures with Progressive Volume Distillation.,,No
aaai_2023_67,Weakly-Supervised Semantic Segmentation for Histopathology Images Based on Dataset Synthesis and Feature Consistency Constraint.,,No
aaai_2023_68,Uncertainty-Aware Image Captioning.,,No
aaai_2023_69,Unsupervised Domain Adaptation for Medical Image Segmentation by Selective Entropy Constraints and Adaptive Semantic Alignment.,,No
aaai_2023_70,SEFormer: Structure Embedding Transformer for 3D Object Detection.,,No
aaai_2023_71,Exploit Domain-Robust Optical Flow in Domain Adaptive Video Semantic Segmentation.,,No
aaai_2023_72,Scene-Level Sketch-Based Image Retrieval with Minimal Pairwise Supervision.,,No
aaai_2023_73,Causal Intervention for Human Trajectory Prediction with Cross Attention Mechanism.,,No
aaai_2023_74,Point-Teaching: Weakly Semi-supervised Object Detection with Point Annotations.,,No
aaai_2023_75,Progressive Multi-View Human Mesh Recovery with Self-Supervision.,,No
aaai_2023_76,Incremental Image De-raining via Associative Memory.,,No
aaai_2023_77,Flexible 3D Lane Detection by Hierarchical Shape Matching.,,No
aaai_2023_78,Underwater Ranker: Learn Which Is Better and How to Be Better.,,No
aaai_2023_79,ShadowFormer: Global Context Helps Shadow Removal.,,No
aaai_2023_80,RAFaRe: Learning Robust and Accurate Non-parametric 3D Face Reconstruction from Pseudo 2D&3D Pairs.,,No
aaai_2023_81,RankDNN: Learning to Rank for Few-Shot Learning.,,No
aaai_2023_82,Social Relation Reasoning Based on Triangular Constraints.,,No
aaai_2023_83,CALIP: Zero-Shot Enhancement of CLIP with Parameter-Free Attention.,,No
aaai_2023_84,Few-Shot Object Detection via Variational Feature Aggregation.,,No
aaai_2023_85,Generating Transferable 3D Adversarial Point Cloud via Random Perturbation Factorization.,,No
aaai_2023_86,Target-Aware Tracking with Long-Term Context Attention.,,No
aaai_2023_87,Weakly-Supervised Camouflaged Object Detection with Scribble Annotations.,,No
aaai_2023_88,Efficient Mirror Detection via Multi-Level Heterogeneous Learning.,,No
aaai_2023_89,TransVCL: Attention-Enhanced Video Copy Localization Network with Flexible Supervision.,,No
aaai_2023_90,Open-Vocabulary Multi-Label Classification via Multi-Modal Knowledge Transfer.,,No
aaai_2023_91,Parameter-Efficient Model Adaptation for Vision Transformers.,,No
aaai_2023_92,DarkFeat: Noise-Robust Feature Detector and Descriptor for Extremely Low-Light RAW Images.,,No
aaai_2023_93,GAM: Gradient Attention Module of Optimization for Point Clouds Analysis.,,No
aaai_2023_94,Self-Supervised Learning for Multilevel Skeleton-Based Forgery Detection via Temporal-Causal Consistency of Actions.,,No
aaai_2023_95,Self-Emphasizing Network for Continuous Sign Language Recognition.,,No
aaai_2023_96,Store and Fetch Immediately: Everything Is All You Need for Space-Time Video Super-resolution.,,No
aaai_2023_97,PointCA: Evaluating the Robustness of 3D Point Cloud Completion Models against Adversarial Examples.,,No
aaai_2023_98,High-Resolution Iterative Feedback Network for Camouflaged Object Detection.,,No
aaai_2023_99,Leveraging Sub-class Discimination for Compositional Zero-Shot Learning.,,No
aaai_2023_100,GPTR: Gestalt-Perception Transformer for Diagram Object Detection.,,No
aaai_2023_101,Resolving Task Confusion in Dynamic Expansion Architectures for Class Incremental Learning.,,No
aaai_2023_102,ClassFormer: Exploring Class-Aware Dependency with Transformer for Medical Image Segmentation.,,No
aaai_2023_103,NLIP: Noise-Robust Language-Image Pre-training.,,No
aaai_2023_104,Symmetry-Aware Transformer-Based Mirror Detection.,,No
aaai_2023_105,AudioEar: Single-View Ear Reconstruction for Personalized Spatial Audio.,,No
aaai_2023_106,Boosting Point Clouds Rendering via Radiance Mapping.,,No
aaai_2023_107,FreeEnricher: Enriching Face Landmarks without Additional Cost.,,No
aaai_2023_108,PATRON: Perspective-Aware Multitask Model for Referring Expression Grounding Using Embodied Multimodal Cues.,,No
aaai_2023_109,Unifying Vision-Language Representation Space with Single-Tower Transformer.,,No
aaai_2023_110,Delving Deep into Pixel Alignment Feature for Accurate Multi-View Human Mesh Recovery.,,No
aaai_2023_111,Semi-attention Partition for Occluded Person Re-identification.,,No
aaai_2023_112,Fast Online Hashing with Multi-Label Projection.,,No
aaai_2023_113,Fourier-Net: Fast Image Registration with Band-Limited Deformation.,,No
aaai_2023_114,Semi-supervised Deep Large-Baseline Homography Estimation with Progressive Equivalence Constraint.,,No
aaai_2023_115,Multi-Modality Deep Network for Extreme Learned Image Compression.,,No
aaai_2023_116,PolarFormer: Multi-Camera 3D Object Detection with Polar Transformer.,,No
aaai_2023_117,3D-TOGO: Towards Text-Guided Cross-Category 3D Object Generation.,"This article has been updated and an error has been fixed in published paper. AnErratumto this article was published on 6 September 2023. Text-guided 3D object generation aims to generate 3D objects described by user-defined captions, which paves a flexible way to visualize what we imagined. Although some works have been devoted to solving this challenging task, these works either utilize some explicit 3D representations (e.g., mesh), which lack texture and require post-processing for rendering photo-realistic views; or require individual time-consuming optimization for every single case. Here, we make the first attempt to achieve generic text-guided cross-category 3D object generation via a new 3D-TOGO model, which integrates a text-to-views generation module and a views-to-3D generation module. The text-to-views generation module is designed to generate different views of the target 3D object given an input caption. prior-guidance, caption-guidance and view contrastive learning are proposed for achieving better view-consistency and caption similarity. Meanwhile, a pixelNeRF model is adopted for the views-to-3D generation module to obtain the implicit 3D neural representation from the previously-generated views. Our 3D-TOGO model generates 3D objects in the form of the neural radiance field with good texture and requires no time-cost optimization for every single caption. Besides, 3D-TOGO can control the category, color and shape of generated 3D objects with the input caption. Extensive experiments on the largest 3D object dataset (i.e., ABO) are conducted to verify that 3D-TOGO can better generate high-quality 3D objects according to the input captions across 98 different categories, in terms of PSNR, SSIM, LPIPS and CLIP-score, compared with text-NeRF and Dreamfields.",No
aaai_2023_118,FacT: Factor-Tuning for Lightweight Adaptation on Vision Transformer.,,No
aaai_2023_119,Estimating Reflectance Layer from a Single Image: Integrating Reflectance Guidance and Shadow/Specular Aware Learning.,,No
aaai_2023_120,Weakly-Guided Self-Supervised Pretraining for Temporal Activity Detection.,,No
aaai_2023_121,Correlation Loss: Enforcing Correlation between Classification and Localization.,,No
aaai_2023_122,GuidedMixup: An Efficient Mixup Strategy Guided by Saliency Maps.,,No
aaai_2023_123,3D Human Pose Lifting with Grid Convolution.,,No
aaai_2023_124,Bidirectional Domain Mixup for Domain Adaptive Semantic Segmentation.,,No
aaai_2023_125,Frequency Selective Augmentation for Video Representation Learning.,,No
aaai_2023_126,Pose-Guided 3D Human Generation in Indoor Scene.,,No
aaai_2023_127,Semantic-Aware Superpixel for Weakly Supervised Semantic Segmentation.,,No
aaai_2023_128,Multispectral Invisible Coating: Laminated Visible-Thermal Physical Attack against Multispectral Object Detectors Using Transparent Low-E Films.,,No
