author,2020,2021,2022,2023,2024
Seongmin Ok,1,0,0,0,0
Yiwen Guo,4,1,1,3,1
Qizhang Li,4,0,0,2,1
Hao Chen,4,0,0,2,1
Avinatan Hassidim,2,1,0,0,0
Haim Kaplan,2,0,0,0,0
Yishay Mansour,4,0,2,0,0
Yossi Matias,2,1,0,0,0
Uri Stemmer,2,0,1,0,0
Cheng Zhang,2,1,0,0,0
Kun Zhang,2,0,0,1,0
Yingzhen Li,2,0,1,0,0
Yujia Huang,2,1,1,0,0
James Gornet,2,0,0,0,0
Sihui Dai,2,0,1,2,0
Zhiding Yu,2,2,0,1,0
Tan M. Nguyen,2,0,0,0,0
Doris Y. Tsao,2,0,0,0,0
Anima Anandkumar,2,3,0,0,0
Yi Zhang,2,0,0,0,1
Orestis Plevrakis,2,0,0,0,0
Simon S. Du,2,3,0,0,0
Xingguo Li,2,0,0,0,0
Zhao Song,3,1,0,2,0
Sanjeev Arora,3,1,0,0,0
Qing Guo,2,0,0,0,1
Felix Juefei-Xu,2,0,0,0,0
Xiaofei Xie,3,1,0,0,1
Lei Ma,4,1,0,0,1
Jian Wang,2,1,0,0,0
Bing Yu,2,0,0,0,0
Wei Feng,2,0,0,0,0
Yang Liu,10,1,1,3,1
Kaidi Xu,3,1,1,1,0
Zhouxing Shi,2,1,1,0,0
Huan Zhang,8,4,4,2,0
Yihan Wang,3,1,2,1,1
Kai-Wei Chang,2,0,0,0,0
Minlie Huang,2,0,0,0,0
Bhavya Kailkhura,2,1,0,0,0
Xue Lin,4,1,0,0,0
Cho-Jui Hsieh,12,2,3,1,0
Junchi Yang,2,0,0,0,0
Negar Kiyavash,2,0,0,0,0
Niao He,2,0,0,0,0
Ping-yeh Chiang,2,1,0,0,0
Michael J. Curry,2,0,1,0,0
Ahmed Abdelkader,2,0,0,0,0
Aounon Kumar,5,1,0,0,0
John Dickerson,2,0,1,0,0
Tom Goldstein,12,5,7,2,2
Ambar Pal,2,0,0,1,0
René Vidal,2,0,1,1,0
Florian Tramèr,3,1,3,4,4
Nicholas Carlini,3,1,4,4,2
Wieland Brendel,4,2,1,0,0
Aleksander Madry,4,0,2,2,1
Kai Jia,2,0,0,0,0
Martin C. Rinard,2,0,0,0,0
Shinji Ito,1,1,0,0,0
Shuichi Hirahara,1,0,0,0,0
Tasuku Soma,1,0,0,0,0
Yuichi Yoshida,1,0,0,0,0
Jeremias Sulam,2,0,0,1,0
Ramchandran Muthukumar,2,0,0,0,0
Raman Arora,2,1,1,1,3
Manish V. Reddy,2,0,0,0,0
Andrzej Banburski,2,0,0,0,0
Nishka Pant,2,0,0,0,0
Tomaso A. Poggio,2,0,0,0,0
Dinghuai Zhang,3,0,1,0,0
Mao Ye,2,0,0,0,0
Chengyue Gong,2,0,0,0,0
Zhanxing Zhu,4,0,0,0,0
Qiang Liu,2,0,0,0,0
Scott Pesme,2,0,0,0,0
Nicolas Flammarion,4,0,0,1,1
Chuan Wen,3,0,0,0,0
Jierui Lin,2,0,0,0,0
Trevor Darrell,2,0,0,0,0
Dinesh Jayaraman,2,0,0,0,0
Yang Gao,2,0,0,0,0
Yash Savani,2,0,0,0,0
Colin White,2,0,0,0,0
Naveen Sundar Govindarajulu,2,0,0,0,0
Guillermo Ortiz-Jiménez,2,0,0,0,0
Apostolos Modas,2,0,0,0,0
Seyed-Mohsen Moosavi-Dezfooli,2,1,0,0,1
Pascal Frossard,2,0,0,0,0
Dongxian Wu,2,1,1,0,0
Shu-Tao Xia,3,1,1,1,1
Yisen Wang,2,6,3,2,2
Minseon Kim,2,0,0,2,0
Jihoon Tack,2,0,0,0,0
Sung Ju Hwang,3,2,1,3,0
Tarik Dzanic,2,0,0,0,0
Karan Shah,2,0,0,0,0
Freddie D. Witherden,2,0,0,0,0
Tuan Anh Nguyen,2,0,0,0,0
Anh Tuan Tran,2,0,0,0,0
Wei-An Lin,2,0,0,0,0
Chun Pong Lau,2,0,0,0,0
Alexander Levine,8,1,2,0,0
Rama Chellappa,2,0,1,1,0
Soheil Feizi,10,2,5,3,0
Hadi Salman,5,0,1,2,0
Andrew Ilyas,2,0,1,2,0
Logan Engstrom,2,0,1,0,0
Ashish Kapoor,4,0,1,0,0
Richard Y. Zhang,2,0,0,1,0
Kunal Talwar,2,0,0,0,0
Jeet Mohapatra,2,0,0,0,0
Ching-Yun Ko,3,0,0,0,0
Tsui-Wei Weng,3,1,0,0,0
Pin-Yu Chen,9,7,1,4,4
Sijia Liu,5,2,3,2,3
Luca Daniel,6,1,0,0,0
Yusuke Tashiro,2,0,0,0,0
Yang Song,2,1,1,1,0
Stefano Ermon,3,1,0,0,0
Jiaqi Ma,2,0,0,0,0
Shuangrui Ding,2,0,0,0,0
Qiaozhu Mei,2,0,0,0,0
Xiaotie Deng,2,0,0,0,0
Ron Lavi,2,0,0,0,0
Tao Lin,4,0,1,0,0
Qi Qi,2,0,0,0,1
Wenwei Wang,2,0,0,0,0
Xiang Yan,2,0,0,0,0
Sumanth Dathathri,2,1,0,0,0
Krishnamurthy Dvijotham,4,1,0,1,0
Alexey Kurakin,2,0,1,1,0
Aditi Raghunathan,5,0,0,1,0
Jonathan Uesato,2,1,0,0,0
Rudy Bunel,2,1,0,0,0
Shreya Shankar,2,0,0,0,0
Jacob Steinhardt,2,0,1,3,0
Ian J. Goodfellow,2,0,0,0,0
Percy Liang,3,0,0,0,0
Pushmeet Kohli,4,0,0,0,0
Ananya Uppal,1,0,0,0,0
Shashank Singh,1,0,0,0,0
Barnabás Póczos,1,0,0,0,0
Huanrui Yang,2,1,0,0,0
Jingyang Zhang,2,1,0,0,0
Hongliang Dong,2,0,0,0,0
