uuid,title,response
uss_2023_0,"32nd USENIX Security Symposium, USENIX Security 2023, Anaheim, CA, USA, August 9-11, 2023.","No, the input ""nan"" is not a valid abstract and provides no information related to adversarial machine learning."
uss_2023_1,PhyAuth: Physical-Layer Message Authentication for ZigBee Networks.,"No. The abstract is not related to AML as it focuses on securing communication in ZigBee networks from packet-injection attacks using PHY hop-by-hop message authentication, rather than discussing manipulations or defenses involving machine learning models."
uss_2023_2,Time for Change: How Clocks Break UWB Secure Ranging.,"No. The abstract is related to Ultra-Wide Band (UWB) technology vulnerabilities and transceiver clock imperfections, not on adversarial attacks on machine learning systems."
uss_2023_3,Formal Analysis and Patching of BLE-SC Pairing.,"No, the given abstract is not related to AML. It focuses on a security issue within the BLE-SC pairing protocol, which is a cryptographic and protocol-level flaw, rather than anything related to manipulating or defending against machine learning models."
uss_2023_4,Framing Frames: Bypassing Wi-Fi Encryption by Manipulating Transmit Queues.,"No, the abstract is not related to Adversarial Machine Learning (AML) as it primarily discusses vulnerabilities in Wi-Fi security protocols and frames handling rather than attacks or methods related to manipulating or understanding machine learning systems."
uss_2023_5,Abuse Vectors: A Framework for Conceptualizing IoT-Enabled Interpersonal Abuse.,"No. The abstract is focused on understanding and addressing tech-enabled interpersonal abuse through smart devices, rather than on adversarial attacks or defenses related to machine learning systems."
uss_2023_6,The Digital-Safety Risks of Financial Technologies for Survivors of Intimate Partner Violence.,"No, the abstract is not related to AML as it focuses on digital financial technologies in the context of intimate partner violence (IPV), rather than on manipulating machine learning models or systems."
uss_2023_7,"""It's the Equivalent of Feeling Like You're in Jail"": Lessons from Firsthand and Secondhand Accounts of IoT-Enabled Intimate Partner Abuse.","No, the abstract is not related to Adversarial Machine Learning because it focuses on the misuse of IoT devices for intimate partner violence, rather than discussing or addressing malicious attacks on machine learning systems."
uss_2023_8,Sneaky Spy Devices and Defective Detectors: The Ecosystem of Intimate Partner Surveillance with Covert Devices.,"No. The abstract focuses on the prevalence and detection of covert spy devices used in intimate partner surveillance, rather than on adversarial attacks or machine learning systems."
uss_2023_9,Towards a General Video-based Keystroke Inference Attack.,"Yes. The abstract is related to AML because it discusses a keystroke inference attack that uses machine learning models to extract typed content, which is an example of an adversarial inference attack on a system to compromise privacy."
uss_2023_10,Going through the motions: AR/VR keylogging from user head motions.,Yes. The abstract is related to AML because it discusses a method to infer sensitive text input using machine learning and highlights a security vulnerability in AR/VR systems.
uss_2023_11,Auditory Eyesight: Demystifying μs-Precision Keystroke Tracking Attacks on Unconstrained Keyboard Inputs.,"No. The abstract discusses revealing keyboard inputs through auditory interfaces, not manipulating machine learning systems or extracting insights about their behaviors."
uss_2023_12,Watch your Watch: Inferring Personality Traits from Wearable Activity Trackers.,"No, the given abstract is not related to AML because it focuses on the correlation between wearable activity tracker data and personality traits, without discussing any adversarial attacks or defenses in machine learning systems."
uss_2023_13,Squint Hard Enough: Attacking Perceptual Hashing with Adversarial Machine Learning.,"Yes. The abstract discusses evaluating perceptual hash functions from an adversarial perspective, which involves examining potential vulnerabilities and misuses relevant to Adversarial Machine Learning."
uss_2023_14,How to Cover up Anomalous Accesses to Electronic Health Records.,"Yes, the abstract is related to AML because it discusses the use of adversarial machine learning strategies, such as evasion and poisoning attacks, to manipulate and evaluate the effectiveness of anomaly detection systems in hospital access logs."
