uuid,title,response
ccs_2022_0,"Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security, CCS 2022, Los Angeles, CA, USA, November 7-11, 2022.",No
ccs_2022_1,Designing Hardware for Cryptography and Cryptography for Hardware.,No
ccs_2022_2,"We Are the Experts, and We Are the Problem: The Security Advice Fiasco.",No
ccs_2022_3,Sustainability is a Security Problem.,No
ccs_2022_4,Updatable Public Key Encryption from DCR: Efficient Constructions With Stronger Security.,No
ccs_2022_5,Helping or Hindering?: How Browser Extensions Undermine Security.,No
ccs_2022_6,"Practical, Round-Optimal Lattice-Based Blind Signatures.",No
ccs_2022_7,Blacktooth: Breaking through the Defense of Bluetooth in Silence.,No
ccs_2022_8,Server-Aided Continuous Group Key Agreement.,No
ccs_2022_9,Enforcing Fine-grained Constant-time Policies.,No
ccs_2022_10,Post Quantum Noise.,No
ccs_2022_11,Laconic Private Set-Intersection From Pairings.,No
ccs_2022_12,Efficient Secure Three-Party Sorting with Applications to Data Analysis and Heavy Hitters.,No
ccs_2022_13,Chaghri - A FHE-friendly Block Cipher.,No
ccs_2022_14,Secure Parallel Computation on Privately Partitioned Data and Applications.,No
ccs_2022_15,Thora: Atomic and Privacy-Preserving Multi-Channel Updates.,No
ccs_2022_16,Sleepy Channels: Bi-directional Payment Channels without Watchtowers.,No
ccs_2022_17,On the Adaptive Security of the Threshold BLS Signature Scheme.,No
ccs_2022_18,Secret-Shared Joins with Multiplicity from Aggregation Trees.,No
ccs_2022_19,META-BTS: Bootstrapping Precision Beyond the Limit.,No
ccs_2022_20,i-TiRE: Incremental Timed-Release Encryption or How to use Timed-Release Encryption on Blockchains?,No
ccs_2022_21,Membership Inference Attacks and Generalization: A Causal Perspective.,Yes
ccs_2022_22,Tidy: Symbolic Verification of Timed Cryptographic Protocols.,No
ccs_2022_23,A Wolf in Sheep's Clothing: Spreading Deadly Pathogens Under the Disguise of Popular Music.,No
ccs_2022_24,Feta: Efficient Threshold Designated-Verifier Zero-Knowledge Proofs.,No
ccs_2022_25,"Distributed, Private, Sparse Histograms in the Two-Server Model.",No
ccs_2022_26,Threshold Cryptography as a Service (in the Multiserver and YOSO Models).,No
ccs_2022_27,Privacy Limitations of Interest-based Advertising on The Web: A Post-mortem Empirical Analysis of Google's FLoC.,No
ccs_2022_28,JIT-Picking: Differential Fuzzing of JavaScript Engines.,No
