uuid,title,response
ieee_2021_0,"42nd IEEE Symposium on Security and Privacy, SP 2021, San Francisco, CA, USA, 24-27 May 2021.",No
ieee_2021_1,Using Selective Memoization to Defeat Regular Expression Denial of Service (ReDoS).,No
ieee_2021_2,Co-Inflow: Coarse-grained Information Flow Control for Java-like Languages.,No
ieee_2021_3,When Function Signature Recovery Meets Compiler Optimization.,No
ieee_2021_4,How Did That Get In My Phone? Unwanted App Distribution on Android Devices.,No
ieee_2021_5,Android Custom Permissions Demystified: From Privilege Escalation to Design Shortcomings.,No
ieee_2021_6,"Trust, But Verify: A Longitudinal Analysis Of Android OEM Compliance and Customization.",No
ieee_2021_7,Detecting AI Trojans Using Meta Neural Analysis.,Yes
ieee_2021_8,Adversarial Watermarking Transformer: Towards Tracing Text Provenance with Data Hiding.,Yes
ieee_2021_9,Machine Unlearning.,No
ieee_2021_10,Poltergeist: Acoustic Adversarial Machine Learning against Cameras and Computer Vision.,Yes
ieee_2021_11,Invisible for both Camera and LiDAR: Security of Multi-Sensor Fusion based Perception in Autonomous Driving Under Physical-World Attacks.,Yes
ieee_2021_12,CANNON: Reliable and Stealthy Remote Shutdown Attacks via Unaltered Automotive Microcontrollers.,No
ieee_2021_13,SoK: Quantifying Cyber Risk.,No
ieee_2021_14,Self-Supervised Euphemism Detection and Identification for Content Moderation.,No
ieee_2021_15,"SoK: Hate, Harassment, and the Changing Landscape of Online Abuse.",No
ieee_2021_16,"Keep the Dirt: Tainted TreeKEM, Adaptively and Actively Secure Continuous Group Key Agreement.",No
ieee_2021_17,Merkle 2 : A Low-Latency Transparency Log System.,No
ieee_2021_18,Post-quantum WireGuard.,No
ieee_2021_19,Invisible Probe: Timing Attacks with PCIe Congestion Side-channel.,No
ieee_2021_20,CacheOut: Leaking Data on Intel CPUs via Cache Evictions.,No
ieee_2021_21,PLATYPUS: Software-based Power Side-Channel Attacks on x86.,No
ieee_2021_22,Defensive Technology Use by Political Activists During the Sudanese Revolution.,No
ieee_2021_23,DP-Sniper: Black-Box Discovery of Differential Privacy Violations using Classifiers.,No
ieee_2021_24,Is Private Learning Possible with Instance Encoding?,No
ieee_2021_25,High-Frequency Trading on Decentralized On-Chain Exchanges.,No
ieee_2021_26,Ebb-and-Flow Protocols: A Resolution of the Availability-Finality Dilemma.,No
ieee_2021_27,"Red Belly: A Secure, Fair and Scalable Open Blockchain.",No
ieee_2021_28,Diane: Identifying Fuzzing Triggers in Apps to Generate Under-constrained Inputs for IoT Devices.,No
ieee_2021_29,Data Privacy in Trigger-Action Systems.,No
ieee_2021_30,Which Privacy and Security Attributes Most Impact Consumers' Risk Perception and Willingness to Purchase IoT Devices?,No
ieee_2021_31,An Interactive Prover for Protocol Verification in the Computational Model.,No
ieee_2021_32,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts.,No
ieee_2021_33,An I/O Separation Model for Formal Verification of Kernel Implementations.,No
ieee_2021_34,Diogenes: Lightweight Scalable RSA Modulus Generation with a Dishonest Majority.,No
ieee_2021_35,Refresh When You Wake Up: Proactive Threshold Wallets with Offline Devices.,No
ieee_2021_36,Compact Certificates of Collective Knowledge.,No
ieee_2021_37,One Engine to Fuzz 'em All: Generic Language Processor Testing with Semantic Validation.,No
ieee_2021_38,StochFuzz: Sound and Cost-effective Fuzzing of Stripped Binaries by Incremental and Stochastic Rewriting.,No
ieee_2021_39,NtFuzz: Enabling Type-Aware Kernel Fuzzing on Windows with Static Binary Analysis.,No
ieee_2021_40,Who is Real Bob? Adversarial Attacks on Speaker Recognition Systems.,Yes
