uuid,title,response
ndss_2022_0,"29th Annual Network and Distributed System Security Symposium, NDSS 2022, San Diego, California, USA, April 24-28, 2022.",No
ndss_2022_1,"ROV-MI: Large-Scale, Accurate and Efficient Measurement of ROV Deployment.",No
ndss_2022_2,HeadStart: Efficiently Verifiable and Low-Latency Participatory Randomness Generation at Scale.,No
ndss_2022_3,PMTUD is not Panacea: Revisiting IP Fragmentation Attacks against TCP.,No
ndss_2022_4,Subverting Stateful Firewalls with Protocol States.,No
ndss_2022_5,PHYjacking: Physical Input Hijacking for Zero-Permission Authorization Attacks on Android.,No
ndss_2022_6,GhostTalk: Interactive Attack on Smartphone Voice System Through Power Line.,No
ndss_2022_7,The Droid is in the Details: Environment-aware Evasion of Android Sandboxes.,No
ndss_2022_8,Uncovering Cross-Context Inconsistent Access Control Enforcement in Android.,No
ndss_2022_9,Evaluating Susceptibility of VPN Implementations to DoS Attacks Using Adversarial Testing.,No
ndss_2022_10,The Truth Shall Set Thee Free: Enabling Practical Forensic Capabilities in Smart Environments.,No
ndss_2022_11,LogicMEM: Automatic Profile Generation for Binary-Only Memory Forensics via Logic Inference.,No
ndss_2022_12,Forensic Analysis of Configuration-based Attacks.,No
ndss_2022_13,ditto: WAN Traffic Obfuscation at Line Rate.,No
ndss_2022_14,A Lightweight IoT Cryptojacking Detection Mechanism in Heterogeneous Smart Home Networks.,No
ndss_2022_15,FANDEMIC: Firmware Attack Construction and Deployment on Power Management Integrated Circuit and Impacts on IoT Applications.,No
ndss_2022_16,EqualNet: A Secure and Practical Defense for Long-term Network Topology Obfuscation.,No
ndss_2022_17,Context-Sensitive and Directional Concurrency Fuzzing for Data-Race Detection.,No
ndss_2022_18,MobFuzz: Adaptive Multi-objective Optimization in Gray-box Fuzzing.,No
ndss_2022_19,FirmWire: Transparent Dynamic Analysis for Cellular Baseband Firmware.,No
ndss_2022_20,EMS: History-Driven Mutation for Coverage-based Fuzzing.,No
ndss_2022_21,Tetrad: Actively Secure 4PC for Secure Training and Inference.,No
ndss_2022_22,MIRROR: Model Inversion for Deep LearningNetwork with High Fidelity.,Yes
ndss_2022_23,Local and Central Differential Privacy for Robustness and Privacy in Federated Learning.,Yes
ndss_2022_24,DeepSight: Mitigating Backdoor Attacks in Federated Learning Through Deep Model Inspection.,Yes
ndss_2022_25,Testability Tarpits: the Impact of Code Patterns on the Security Testing of Web Applications.,No
ndss_2022_26,Probe the Proto: Measuring Client-Side Prototype Pollution Vulnerabilities of One Million Real-world Websites.,No
ndss_2022_27,ScriptChecker: To Tame Third-party Script Execution With Task Capabilities.,No
ndss_2022_28,HARPO: Learning to Subvert Online Behavioral Advertising.,No
ndss_2022_29,Chosen-Instruction Attack Against Commercial Code Virtualization Obfuscators.,No
ndss_2022_30,Building Embedded Systems Like It's 1996.,No
ndss_2022_31,The Taming of the Stack: Isolating Stack Data from Memory Errors.,No
ndss_2022_32,CFInsight: A Comprehensive Metric for CFI Policies.,No
ndss_2022_33,Too Afraid to Drive: Systematic Discovery of Semantic DoS Vulnerability in Autonomous Driving Planning under Physical-World Attacks.,Yes
ndss_2022_34,RVPLAYER: Robotic Vehicle Forensics by Replay with What-if Reasoning.,No
ndss_2022_35,Hiding My Real Self! Protecting Intellectual Property in Additive Manufacturing Systems Against Optical Side-Channel Attacks.,Yes.
ndss_2022_36,PoF: Proof-of-Following for Vehicle Platoons.,Yes
ndss_2022_37,Packet-Level Open-World App Fingerprinting on Wireless Traffic.,No
ndss_2022_38,SpiralSpy: Exploring a Stealthy and Practical Covert Channel to Attack Air-gapped Computing Devices via mmWave Sensing.,No
ndss_2022_39,SemperFi: Anti-spoofing GPS Receiver for UAVs.,No
ndss_2022_40,V-Range: Enabling Secure Ranging in 5G Wireless Networks.,No
ndss_2022_41,Hybrid Trust Multi-party Computation with Trusted Execution Environment.,No
ndss_2022_42,SynthCT: Towards Portable Constant-Time Code.,No
ndss_2022_43,Binary Search in Secure Computation.,No
ndss_2022_44,Chunked-Cache: On-Demand and Scalable Cache Isolation for Security Architectures.,No
ndss_2022_45,What You See is Not What the Network Infers: Detecting Adversarial Examples Based on Semantic Contradiction.,Yes
ndss_2022_46,Euler: Detecting Network Lateral Movement via Scalable Temporal Graph Link Prediction.,No
ndss_2022_47,Fooling the Eyes of Autonomous Vehicles: Robust Physical Adversarial Examples Against Traffic Sign Recognition Systems.,Yes
ndss_2022_48,FedCRI: Federated Mobile Cyber-Risk Intelligence.,No
ndss_2022_49,FakeGuard: Exploring Haptic Response to Mitigate the Vulnerability in Commercial Fingerprint Anti-Spoofing.,No
ndss_2022_50,On Utility and Privacy in Synthetic Genomic Data.,No
ndss_2022_51,ProvTalk: Towards Interpretable Multi-level Provenance Analysis in Networking Functions Virtualization (NFV).,No
ndss_2022_52,"Privacy in Urban Sensing with Instrumented Fleets, Using Air Pollution Monitoring As A Usecase.",No
ndss_2022_53,Titanium: A Metadata-Hiding File-Sharing System with Malicious Security.,No
ndss_2022_54,Remote Memory-Deduplication Attacks.,No
ndss_2022_55,Interpretable Federated Transformer Log Learning for Cloud Threat Forensics.,Yes
ndss_2022_56,Repttack: Exploiting Cloud Schedulers to Guide Co-Location Attacks.,No
ndss_2022_57,ATTEQ-NN: Attention-based QoE-aware Evasive Backdoor Attacks.,Yes
ndss_2022_58,RamBoAttack: A Robust and Query Efficient Deep Neural Network Decision Exploit.,Yes
ndss_2022_59,Property Inference Attacks Against GANs.,Yes
ndss_2022_60,Get a Model! Model Hijacking Attack Against Machine Learning Models.,Yes
ndss_2022_61,DRAWN APART: A Device Identification Technique based on Remote GPU Fingerprinting.,No
ndss_2022_62,Clarion: Anonymous Communication from Multiparty Shuffling Protocols.,No
ndss_2022_63,VPNInspector: Systematic Investigation of the VPN Ecosystem.,No
ndss_2022_64,hbACSS: How to Robustly Share Many Secrets.,No
ndss_2022_65,An In-depth Analysis of Duplicated Linux Kernel Bug Reports.,No
ndss_2022_66,Kasper: Scanning for Generalized Transient Execution Gadgets in the Linux Kernel.,No
ndss_2022_67,Semantic-Informed Driver Fuzzing Without Both the Hardware Devices and the Emulators.,No
ndss_2022_68,Progressive Scrutiny: Incremental Detection of UBI bugs in the Linux Kernel.,No
ndss_2022_69,F-PKI: Enabling Innovation and Trust Flexibility in the HTTPS Public-Key Infrastructure.,No
ndss_2022_70,Let's Authenticate: Automated Certificates for User Authentication.,No
ndss_2022_71,Transparency Dictionaries with Succinct Proofs of Correct Operation.,No
ndss_2022_72,Multi-Certificate Attacks against Proof-of-Elapsed-Time and Their Countermeasures.,No
ndss_2022_73,Shaduf: Non-Cycle Payment Channel Rebalancing.,No
ndss_2022_74,NC-Max: Breaking the Security-Performance Tradeoff in Nakamoto Consensus.,No
ndss_2022_75,Speeding Dumbo: Pushing Asynchronous BFT Closer to Practice.,No
ndss_2022_76,Preventing Kernel Hacks with HAKCs.,No
ndss_2022_77,D-Box: DMA-enabled Compartmentalization for Embedded Applications.,No
ndss_2022_78,Cross-Language Attacks.,No
ndss_2022_79,COOPER: Testing the Binding Code of Scripting Languages with Cooperative Mutation.,No
ndss_2022_80,Demystifying Local Business Search Poisoning for Illicit Drug Promotion.,No
ndss_2022_81,Hazard Integrated: Understanding Security Risks in App Extensions to Team Chat Systems.,No
ndss_2022_82,Above and Beyond: Organizational Efforts to Complement U.S. Digital Security Compliance Mandates.,No.
ndss_2022_83,Fighting Fake News in Encrypted Messaging with the Fuzzy Anonymous Complaint Tally System (FACTS).,No
