author,2020,2021,2022,2023,2024
Wenke Lee,2,0,0,2,0
Shawn Shan,2,2,6,2,6
Emily Wenger,2,2,4,2,0
Bolun Wang,2,0,0,0,0
Bo Li,2,8,2,10,8
Haitao Zheng,2,2,6,2,2
Ben Y. Zhao,2,2,6,2,6
Ren Pang,2,2,2,2,2
Hua Shen,4,0,0,0,0
Xinyang Zhang,4,0,0,0,0
Shouling Ji,12,6,6,6,8
Yevgeniy Vorobeychik,2,0,2,0,0
Xiapu Luo,4,4,4,4,0
Alex X. Liu,2,0,0,0,0
Ting Wang,8,8,6,4,4
Yu Li,2,0,2,0,0
Min Li,2,0,0,0,0
Bo Luo,2,0,2,0,4
Ye Tian,2,0,0,0,0
Qiang Xu,2,0,2,0,0
Junyu Lin,2,0,0,0,0
Lei Xu,2,0,0,0,0
Yingqi Liu,2,0,6,6,0
Xiangyu Zhang,2,0,6,8,10
Ben Nassi,2,0,0,0,2
Yisroel Mirsky,2,0,0,0,2
Dudi Nassi,2,0,0,0,0
Raz Ben-Netanel,2,0,0,0,0
Oleg Drokin,2,0,0,0,0
Yuval Elovici,2,0,0,0,0
Dingfan Chen,2,0,0,0,0
Ning Yu,2,0,2,2,0
Yang Zhang,2,10,24,10,26
Mario Fritz,4,2,2,4,2
Santiago Zanella Béguelin,2,0,0,4,2
Lukas Wutschitz,2,0,0,2,2
Shruti Tople,2,2,2,4,2
Victor Rühle,2,0,0,0,0
Andrew Paverd,2,0,0,2,2
Olga Ohrimenko,2,2,0,0,0
Boris Köpf,2,0,0,2,2
Marc Brockschmidt,2,0,0,0,0
Congzheng Song,2,0,0,0,0
Ananth Raghunathan,2,0,0,0,0
Marco Romanelli,2,0,0,0,0
Konstantinos Chatzikokolakis,2,0,0,0,0
Catuscia Palamidessi,2,0,0,0,2
Pablo Piantanida,2,0,0,0,0
Xiaohan Zhang,2,0,0,2,0
Yuan Zhang,2,0,0,2,2
Ming Zhong,2,0,0,0,0
Daizong Ding,2,0,0,0,0
Yinzhi Cao,2,2,0,4,4
Yukun Zhang,2,0,0,0,0
Mi Zhang,6,0,4,2,4
Min Yang,8,0,2,4,4
Shu Wang,2,0,0,0,4
Jiahao Cao,2,0,0,0,0
Xu He,2,0,0,0,0
Kun Sun,2,2,0,0,8
Qi Li,2,6,2,10,28
Zhuohang Li,2,2,0,0,2
Yi Wu,2,0,0,0,0
Jian Liu,2,2,2,0,2
Yingying Chen,2,2,0,0,0
Bo Yuan,2,2,0,0,0
Chenghui Shi,2,0,0,0,0
Qianjun Liu,2,0,0,0,0
Changchang Liu,2,0,0,0,0
Yuefeng Chen,2,0,0,0,0
Yuan He,2,0,0,0,2
Zhe Liu,2,0,0,0,0
Raheem Beyah,2,2,0,0,0
Sahar Abdelnabi,2,2,0,2,0
Katharina Krombholz,2,0,0,0,0
Victor Zeng,2,0,0,0,0
Xin Zhou,2,0,0,0,0
Shahryar Baki,2,0,0,0,0
Rakesh M. Verma,2,0,0,0,0
Sadia Afroz,2,0,0,0,0
Nicholas Carlini,4,2,4,2,4
Ambra Demontis,2,0,2,0,0
Giada Stivala,2,0,0,0,0
Giancarlo Pellegrino,2,0,0,0,0
Tao Chen,2,0,0,0,0
Longfei Shangguan,2,0,0,0,0
Zhenjiang Li,2,0,0,0,0
Kyle Jamieson,2,0,0,0,0
Qiben Yan,2,0,4,0,0
Kehai Liu,2,0,0,0,0
Qin Zhou,2,0,0,0,0
Hanqing Guo,2,0,2,0,0
Ning Zhang,2,0,2,4,6
Benjamin E. Ujcich,2,0,0,0,0
Samuel Jero,2,0,0,0,0
Richard Skowyra,2,0,0,0,0
Steven R. Gomez,2,0,0,0,0
Adam Bates,2,0,0,2,2
William H. Sanders,2,0,0,0,0
Hamed Okhravi,2,0,0,0,0
Shivam Bhasin,2,0,0,0,0
Anupam Chattopadhyay,2,0,0,0,0
Annelie Heuser,2,0,0,0,0
Dirmanto Jap,2,0,0,0,0
Stjepan Picek,2,0,4,2,2
Ritu Ranjan Shrivastwa,2,0,0,0,0
Honggang Yu,2,0,0,0,0
Kaichen Yang,2,0,0,0,0
Teng Zhang,2,0,0,0,0
Yun-Yun Tsai,2,0,0,0,0
Tsung-Yi Ho,2,0,0,0,0
Yier Jin,2,0,0,0,0
Hojjat Aghakhani,2,0,0,0,2
Fabio Gritti,2,0,0,0,0
Francesco Mecca,2,0,0,0,0
Martina Lindorfer,2,0,0,0,0
Stefano Ortolani,2,0,0,0,0
Davide Balzarotti,2,2,0,2,0
Giovanni Vigna,2,0,0,0,2
Christopher Kruegel,2,0,0,0,2
Benjamin Zi Hao Zhao,2,2,0,0,4
Hassan Jameel Asghar,2,0,0,0,0
Mohamed Ali Kâafar,2,0,0,0,0
Jairo Giraldo,2,0,0,0,0
Alvaro A. Cárdenas,2,0,0,0,0
Murat Kantarcioglu,2,0,0,4,0
Jonathan Katz,2,0,0,0,0
Steve T. K. Jan,2,2,0,0,0
Qingying Hao,2,4,0,2,2
Tianrui Hu,2,0,0,0,0
Jiameng Pu,2,2,0,2,0
Sonal Oswal,2,0,0,0,0
Gang Wang,2,6,2,8,4
Bimal Viswanath,2,2,0,2,2
Jianbo Chen,2,0,0,0,0
Michael I. Jordan,2,0,0,0,0
Martin J. Wainwright,2,0,0,0,0
Roei Schuster,2,0,0,2,0
Tal Schuster,2,0,0,0,0
Yoav Meri,2,0,0,0,0
Vitaly Shmatikov,2,2,2,0,4
Xudong Pan,4,0,4,2,4
Fabio Pierazzi,2,0,4,2,0
Feargus Pendlebury,2,0,4,2,0
Jacopo Cortellazzi,2,0,0,2,0
Lorenzo Cavallaro,2,0,4,2,0
Jiachen Sun,2,0,0,0,2
Yulong Cao,2,2,2,2,0
Qi Alfred Chen,4,4,6,0,8
Z. Morley Mao,2,0,2,2,2
Junjie Shen,2,2,2,0,0
Jun Yeon Won,2,0,0,0,0
Zeyuan Chen,2,0,0,0,4
Varun Chandrasekaran,2,2,0,0,0
Kamalika Chaudhuri,2,0,0,0,0
Irene Giacomelli,2,0,0,0,0
Somesh Jha,2,0,4,4,0
Songbai Yan,2,0,0,0,0
Fnu Suya,2,0,0,0,0
Jianfeng Chi,2,0,0,0,2
David Evans,2,0,2,2,4
Yuan Tian,2,0,0,0,2
Matthew Jagielski,2,4,2,4,6
David Berthelot,2,0,0,0,0
