author,count
Shouling Ji,35
Ting Wang,24
Qi Alfred Chen,23
Yang Zhang,22
Min Yang,20
Neil Zhenqiang Gong,17
Kai Chen,16
Qi Li,16
Jinyuan Jia,14
Matthew Jagielski,13
Michael Backes,13
Jinfeng Li,12
Minghong Fang,12
Somesh Jha,12
Junjie Shen,11
Xudong Pan,11
Xinyang Zhang,11
Yizheng Chen,11
Zeyuan Chen,11
Nicholas Carlini,11
Tianyu Du,11
Mi Zhang,11
Xiapu Luo,11
Yue Zhao,11
Shengzhi Zhang,11
XiaoFeng Wang,11
Wenyuan Xu,11
Jiachen Sun,10
Varun Chandrasekaran,10
Fnu Suya,10
Erwin Quiring,10
Fan Yao,10
Klas Leino,10
Mengjia Yan,10
Yuxuan Chen,10
Muhammad Ejaz Ahmed,10
Jianfeng Chi,10
David Evans,10
Yuan Tian,10
Konrad Rieck,10
Adnan Siraj Rakin,10
Xiaoyu Cao,10
Ningfei Wang,10
Hua Shen,10
Shiqi Wang,10
Suman Jana,10
Jiangshan Zhang,10
Hyoungshick Kim,10
Yulong Cao,9
Z. Morley Mao,9
Jun Yeon Won,9
Kamalika Chaudhuri,9
Irene Giacomelli,9
Songbai Yan,9
David Berthelot,9
Alex Kurakin,9
Nicolas Papernot,9
David Klein,9
Daniel Arp,9
Martin Johns,9
Rong Zhang,9
Quan Lu,9
Deliang Fan,9
Matt Fredrikson,9
Duocai Wu,9
Qifan Xiao,9
Christopher W. Fletcher,9
Josep Torrellas,9
Dongdong She,9
Xuejing Yuan,9
Il-Youp Kwak,9
Jun Ho Huh,9
Iljoo Kim,9
Taekkyung Oh,9
Minhui Xue,9
Yanjiao Chen,8
Ke Xu,8
Bo Li,7
Kun Sun,6
Zheng Li,6
Zhikun Zhang,6
Ahmad-Reza Sadeghi,6
Yun Shen,6
Ben Y. Zhao,5
Qian Wang,5
Stjepan Picek,5
Kui Ren,5
Xiaoyu Ji,5
Shawn Shan,4
Bo Luo,4
Zhuotao Liu,4
Haojin Zhu,4
Xinlei He,4
Xuhong Zhang,4
Jiangyi Deng,4
Guozhu Meng,4
Zhiyuan Yu,4
Ning Zhang,4
Florian Tramèr,4
Takami Sato,4
Alexandra Dmitrienko,4
Michael K. Reiter,4
Phillip Rieger,4
Xinfeng Li,4
Shuo Wang,4
 Shouling Ji,3
Emily Wenger,3
