uuid,venue,year,title,authors,abstract
icml_2024_1,icml,2024,"Forty-first International Conference on Machine Learning, ICML 2024, Vienna, Austria, July 21-27, 2024.",,
icml_2024_2,icml,2024,Probabilistic Inference in Language Models via Twisted Sequential Monte Carlo.,Stephen Zhao; Rob Brekelmans; Alireza Makhzani; Roger Baker Grosse,
icml_2024_3,icml,2024,Position: Open-Endedness is Essential for Artificial Superhuman Intelligence.,Edward Hughes; Michael D. Dennis; Jack Parker-Holder; Feryal M. P. Behbahani; Aditi Mavalankar; Yuge Shi; Tom Schaul; Tim Rocktäschel,
icml_2024_4,icml,2024,Stop Regressing: Training Value Functions via Classification for Scalable Deep RL.,Jesse Farebrother; Jordi Orbay; Quan Vuong; Adrien Ali Taïga; Yevgen Chebotar; Ted Xiao; Alex Irpan; Sergey Levine; Pablo Samuel Castro; Aleksandra Faust; Aviral Kumar; Rishabh Agarwal,
icml_2024_5,icml,2024,Improving Transformers with Dynamically Composable Multi-Head Attention.,Da Xiao; Qingye Meng; Shengping Li; Xingyuan Yuan,
icml_2024_6,icml,2024,Learning Useful Representations of Recurrent Neural Network Weight Matrices.,Vincent Herrmann; Francesco Faccio; Jürgen Schmidhuber,
icml_2024_7,icml,2024,Evolution of Heuristics: Towards Efficient Automatic Algorithm Design Using Large Language Model.,Fei Liu; Xialiang Tong; Mingxuan Yuan; Xi Lin; Fu Luo; Zhenkun Wang; Zhichao Lu; Qingfu Zhang,
icml_2024_8,icml,2024,SceneCraft: An LLM Agent for Synthesizing 3D Scenes as Blender Code.,Ziniu Hu; Ahmet Iscen; Aashi Jain; Thomas Kipf; Yisong Yue; David A. Ross; Cordelia Schmid; Alireza Fathi,
icml_2024_9,icml,2024,Doubly Robust Causal Effect Estimation under Networked Interference via Targeted Learning.,Weilin Chen; Ruichu Cai; Zeqin Yang; Jie Qiao; Yuguang Yan; Zijian Li; Zhifeng Hao,
icml_2024_10,icml,2024,Emergent Equivariance in Deep Ensembles.,Jan E. Gerken; Pan Kessel,
icml_2024_11,icml,2024,Evaluation of LLMs on Syntax-Aware Code Fill-in-the-Middle Tasks.,Linyuan Gong; Sida Wang; Mostafa Elhoushi; Alvin Cheung,
icml_2024_12,icml,2024,Position: Automatic Environment Shaping is the Next Frontier in RL.,Younghyo Park; Gabriel B. Margolis; Pulkit Agrawal,
icml_2024_13,icml,2024,Online Matching with Stochastic Rewards: Provable Better Bound via Adversarial Reinforcement Learning.,Qiankun Zhang; Aocheng Shen; Boyu Zhang; Hanrui Jiang; Bingqian Du,
icml_2024_14,icml,2024,"Position: Beyond Personhood: Agency, Accountability, and the Limits of Anthropomorphic Ethical Analysis.",Jessica Dai,
icml_2024_15,icml,2024,Transformers Learn Nonlinear Features In Context: Nonconvex Mean-field Dynamics on the Attention Landscape.,Juno Kim; Taiji Suzuki,
icml_2024_16,icml,2024,Monitoring AI-Modified Content at Scale: A Case Study on the Impact of ChatGPT on AI Conference Peer Reviews.,Weixin Liang; Zachary Izzo; Yaohui Zhang; Haley Lepp; Hancheng Cao; Xuandong Zhao; Lingjiao Chen; Haotian Ye; Sheng Liu; Zhi Huang; Daniel A. McFarland; James Y. Zou,
icml_2024_17,icml,2024,Locality-Sensitive Hashing-Based Efficient Point Transformer with Applications in High-Energy Physics.,Siqi Miao; Zhiyuan Lu; Mia Liu; Javier M. Duarte; Pan Li,
icml_2024_18,icml,2024,Unified Training of Universal Time Series Forecasting Transformers.,Gerald Woo; Chenghao Liu; Akshat Kumar; Caiming Xiong; Silvio Savarese; Doyen Sahoo,
icml_2024_19,icml,2024,Position: Opportunities Exist for Machine Learning in Magnetic Fusion Energy.,Lucas Spangher; Allen M. Wang; Andrew Maris; Myles Stapelberg; Viraj Mehta; Alex Saperstein; Stephen Lane-Walsh; Akshata Kishore Moharir; Alessandro Pau; Cristina Rea,
icml_2024_20,icml,2024,Robust CLIP: Unsupervised Adversarial Fine-Tuning of Vision Embeddings for Robust Large Vision-Language Models.,Christian Schlarmann; Naman Deep Singh; Francesco Croce; Matthias Hein,
icml_2024_21,icml,2024,Less is More: on the Over-Globalizing Problem in Graph Transformers.,Yujie Xing; Xiao Wang; Yibo Li; Hai Huang; Chuan Shi,
icml_2024_22,icml,2024,GaLore: Memory-Efficient LLM Training by Gradient Low-Rank Projection.,Jiawei Zhao; Zhenyu Zhang; Beidi Chen; Zhangyang Wang; Anima Anandkumar; Yuandong Tian,
