venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
ccs,2022,conf/ccs/ccs2022,,"Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security, CCS 2022, Los Angeles, CA, USA, November 7-11, 2022.",Heng Yin; Angelos Stavrou; Cas Cremers; Elaine Shi,,0,https://doi.org/10.1145/3548606,
ccs,2022,conf/ccs/ccs2022,,Designing Hardware for Cryptography and Cryptography for Hardware.,Srinivas Devadas; Simon Langowski; Nikola Samardzic; Sacha Servan-Schreiber; Daniel Sánchez,1-4,4,https://doi.org/10.1145/3548606.3559393,issue_last_page
ccs,2022,conf/ccs/ccs2022,,"We Are the Experts, and We Are the Problem: The Security Advice Fiasco.",Michelle L. Mazurek,7,1,https://doi.org/10.1145/3548606.3559394,issue_first_page;issue_last_page
ccs,2022,conf/ccs/ccs2022,,Sustainability is a Security Problem.,Patrick Drew McDaniel,9-10,2,https://doi.org/10.1145/3548606.3559396,issue_first_page
ccs,2022,conf/ccs/ccs2022,,Updatable Public Key Encryption from DCR: Efficient Constructions With Stronger Security.,Calvin Abou Haidar; Benoît Libert; Alain Passelègue,11-22,12,https://doi.org/10.1145/3548606.3559376,
ccs,2022,conf/ccs/ccs2022,,Helping or Hindering?: How Browser Extensions Undermine Security.,Shubham Agarwal,23-37,15,https://doi.org/10.1145/3548606.3560685,issue_last_page
ccs,2022,conf/ccs/ccs2022,,"Practical, Round-Optimal Lattice-Based Blind Signatures.",Shweta Agrawal; Elena Kirshanova; Damien Stehlé; Anshu Yadav,39-53,15,https://doi.org/10.1145/3548606.3560650,issue_first_page;issue_last_page
ccs,2022,conf/ccs/ccs2022,,Blacktooth: Breaking through the Defense of Bluetooth in Silence.,Mingrui Ai; Kaiping Xue; Bo Luo; Lutong Chen; Nenghai Yu; Qibin Sun; Feng Wu,55-68,14,https://doi.org/10.1145/3548606.3560668,issue_first_page
ccs,2022,conf/ccs/ccs2022,,Server-Aided Continuous Group Key Agreement.,Joël Alwen; Dominik Hartmann; Eike Kiltz; Marta Mularczyk,69-82,14,https://doi.org/10.1145/3548606.3560632,
ccs,2022,conf/ccs/ccs2022,,Enforcing Fine-grained Constant-time Policies.,Basavesh Ammanaghatta Shivakumar; Gilles Barthe; Benjamin Grégoire; Vincent Laporte; Swarn Priya,83-96,14,https://doi.org/10.1145/3548606.3560689,
ccs,2022,conf/ccs/ccs2022,,Post Quantum Noise.,Yawning Angel; Benjamin Dowling; Andreas Hülsing; Peter Schwabe; Florian Weber,97-109,13,https://doi.org/10.1145/3548606.3560577,issue_last_page
ccs,2022,conf/ccs/ccs2022,,Laconic Private Set-Intersection From Pairings.,Diego F. Aranha; Chuanwei Lin; Claudio Orlandi; Mark Simkin,111-124,14,https://doi.org/10.1145/3548606.3560642,issue_first_page
ccs,2022,conf/ccs/ccs2022,,Efficient Secure Three-Party Sorting with Applications to Data Analysis and Heavy Hitters.,Gilad Asharov; Koki Hamada; Dai Ikarashi; Ryo Kikuchi; Ariel Nof; Benny Pinkas; Katsumi Takahashi; Junichi Tomida,125-138,14,https://doi.org/10.1145/3548606.3560691,
ccs,2022,conf/ccs/ccs2022,,Chaghri - A FHE-friendly Block Cipher.,Tomer Ashur; Mohammad Mahzoun; Dilara Toprakhisar,139-150,12,https://doi.org/10.1145/3548606.3559364,
ccs,2022,conf/ccs/ccs2022,,Secure Parallel Computation on Privately Partitioned Data and Applications.,Nuttapong Attrapadung; Hiraku Morita; Kazuma Ohara; Jacob C. N. Schuldt; Tadanori Teruya; Kazunari Tozawa,151-164,14,https://doi.org/10.1145/3548606.3560695,
ccs,2022,conf/ccs/ccs2022,,Thora: Atomic and Privacy-Preserving Multi-Channel Updates.,Lukas Aumayr; Kasra Abbaszadeh; Matteo Maffei,165-178,14,https://doi.org/10.1145/3548606.3560556,
ccs,2022,conf/ccs/ccs2022,,Sleepy Channels: Bi-directional Payment Channels without Watchtowers.,Lukas Aumayr; Sri Aravinda Krishnan Thyagarajan; Giulio Malavolta; Pedro Moreno-Sanchez; Matteo Maffei,179-192,14,https://doi.org/10.1145/3548606.3559370,
ccs,2022,conf/ccs/ccs2022,,On the Adaptive Security of the Threshold BLS Signature Scheme.,Renas Bacho; Julian Loss,193-207,15,https://doi.org/10.1145/3548606.3560656,issue_last_page
ccs,2022,conf/ccs/ccs2022,,Secret-Shared Joins with Multiplicity from Aggregation Trees.,Saikrishna Badrinarayanan; Sourav Das; Gayathri Garimella; Srinivasan Raghuraman; Peter Rindal,209-222,14,https://doi.org/10.1145/3548606.3560670,issue_first_page
ccs,2022,conf/ccs/ccs2022,,META-BTS: Bootstrapping Precision Beyond the Limit.,Youngjin Bae; Jung Hee Cheon; Wonhee Cho; Jaehyung Kim; Taekyung Kim,223-234,12,https://doi.org/10.1145/3548606.3560696,
ccs,2022,conf/ccs/ccs2022,,i-TiRE: Incremental Timed-Release Encryption or How to use Timed-Release Encryption on Blockchains?,Leemon Baird; Pratyay Mukherjee; Rohit Sinha,235-248,14,https://doi.org/10.1145/3548606.3560704,
