venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2020,conf/icml/icml2020,,"Proceedings of the 37th International Conference on Machine Learning, ICML 2020, 13-18 July 2020, Virtual Event.",,,0,http://proceedings.mlr.press/v119/,
icml,2020,conf/icml/icml2020,,Selective Dyna-Style Planning Under Limited Model Capacity.,Zaheer Abbas; Samuel Sokota; Erin Talvitie; Martha White,1-10,10,http://proceedings.mlr.press/v119/abbas20a.html,
icml,2020,conf/icml/icml2020,,A distributional view on multi-objective policy optimization.,Abbas Abdolmaleki; Sandy H. Huang; Leonard Hasenclever; Michael Neunert; H. Francis Song; Martina Zambelli; Murilo F. Martins; Nicolas Heess; Raia Hadsell; Martin A. Riedmiller,11-22,12,http://proceedings.mlr.press/v119/abdolmaleki20a.html,
icml,2020,conf/icml/icml2020,,Efficient Optimistic Exploration in Linear-Quadratic Regulators via Lagrangian Relaxation.,Marc Abeille; Alessandro Lazaric,23-31,9,http://proceedings.mlr.press/v119/abeille20a.html,
icml,2020,conf/icml/icml2020,,Super-efficiency of automatic differentiation for functions defined as a minimum.,Pierre Ablin; Gabriel Peyré; Thomas Moreau,32-41,10,http://proceedings.mlr.press/v119/ablin20a.html,
icml,2020,conf/icml/icml2020,,A Geometric Approach to Archetypal Analysis via Sparse Projections.,Vinayak Abrol; Pulkit Sharma,42-51,10,http://proceedings.mlr.press/v119/abrol20a.html,
icml,2020,conf/icml/icml2020,,Context Aware Local Differential Privacy.,Jayadev Acharya; Kallista A. Bonawitz; Peter Kairouz; Daniel Ramage; Ziteng Sun,52-62,11,http://proceedings.mlr.press/v119/acharya20a.html,
icml,2020,conf/icml/icml2020,,Efficient Intervention Design for Causal Discovery with Latents.,Raghavendra Addanki; Shiva Prasad Kasiviswanathan; Andrew McGregor; Cameron Musco,63-73,11,http://proceedings.mlr.press/v119/addanki20a.html,
icml,2020,conf/icml/icml2020,,The Neural Tangent Kernel in High Dimensions: Triple Descent and a Multi-Scale Theory of Generalization.,Ben Adlam; Jeffrey Pennington,74-84,11,http://proceedings.mlr.press/v119/adlam20a.html,
icml,2020,conf/icml/icml2020,,Rank Aggregation from Pairwise Comparisons in the Presence of Adversarial Corruptions.,Arpit Agarwal; Shivani Agarwal; Sanjeev Khanna; Prathamesh Patil,85-95,11,http://proceedings.mlr.press/v119/agarwal20a.html,
icml,2020,conf/icml/icml2020,,Boosting for Control of Dynamical Systems.,Naman Agarwal; Nataly Brukhim; Elad Hazan; Zhou Lu,96-103,8,http://proceedings.mlr.press/v119/agarwal20b.html,
icml,2020,conf/icml/icml2020,,An Optimistic Perspective on Offline Reinforcement Learning.,Rishabh Agarwal; Dale Schuurmans; Mohammad Norouzi,104-114,11,http://proceedings.mlr.press/v119/agarwal20c.html,
icml,2020,conf/icml/icml2020,,Optimal Bounds between f-Divergences and Integral Probability Metrics.,Rohit Agrawal; Thibaut Horel,115-124,10,http://proceedings.mlr.press/v119/agrawal20a.html,
icml,2020,conf/icml/icml2020,,LazyIter: A Fast Algorithm for Counting Markov Equivalent DAGs and Designing Experiments.,Ali AhmadiTeshnizi; Saber Salehkaleybar; Negar Kiyavash,125-133,9,http://proceedings.mlr.press/v119/ahmaditeshnizi20a.html,
icml,2020,conf/icml/icml2020,,Learning What to Defer for Maximum Independent Sets.,Sungsoo Ahn; Younggyo Seo; Jinwoo Shin,134-144,11,http://proceedings.mlr.press/v119/ahn20a.html,
icml,2020,conf/icml/icml2020,,Invariant Risk Minimization Games.,Kartik Ahuja; Karthikeyan Shanmugam; Kush R. Varshney; Amit Dhurandhar,145-155,11,http://proceedings.mlr.press/v119/ahuja20a.html,
icml,2020,conf/icml/icml2020,,Why bigger is not always better: on finite and infinite neural networks.,Laurence Aitchison,156-164,9,http://proceedings.mlr.press/v119/aitchison20a.html,
icml,2020,conf/icml/icml2020,,Discriminative Jackknife: Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions.,Ahmed M. Alaa; Mihaela van der Schaar,165-174,10,http://proceedings.mlr.press/v119/alaa20a.html,
icml,2020,conf/icml/icml2020,,Frequentist Uncertainty in Recurrent Neural Networks via Blockwise Influence Functions.,Ahmed M. Alaa; Mihaela van der Schaar,175-190,16,http://proceedings.mlr.press/v119/alaa20b.html,
icml,2020,conf/icml/icml2020,,Random extrapolation for primal-dual coordinate descent.,Ahmet Alacaoglu; Olivier Fercoq; Volkan Cevher,191-201,11,http://proceedings.mlr.press/v119/alacaoglu20a.html,
icml,2020,conf/icml/icml2020,,A new regret analysis for Adam-type algorithms.,Ahmet Alacaoglu; Yura Malitsky; Panayotis Mertikopoulos; Volkan Cevher,202-210,9,http://proceedings.mlr.press/v119/alacaoglu20b.html,
icml,2020,conf/icml/icml2020,,Restarted Bayesian Online Change-point Detector achieves Optimal Detection Delay.,Réda Alami; Odalric Maillard; Raphaël Féraud,211-221,11,http://proceedings.mlr.press/v119/alami20a.html,
icml,2020,conf/icml/icml2020,,Maximum Likelihood with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation.,Amr Alexandari; Anshul Kundaje; Avanti Shrikumar,222-232,11,http://proceedings.mlr.press/v119/alexandari20a.html,
icml,2020,conf/icml/icml2020,,The Implicit Regularization of Stochastic Gradient Flow for Least Squares.,Alnur Ali; Edgar Dobriban; Ryan J. Tibshirani,233-244,12,http://proceedings.mlr.press/v119/ali20a.html,
icml,2020,conf/icml/icml2020,,Structural Language Models of Code.,Uri Alon; Roy Sadaka; Omer Levy; Eran Yahav,245-256,12,http://proceedings.mlr.press/v119/alon20a.html,
icml,2020,conf/icml/icml2020,,LowFER: Low-rank Bilinear Pooling for Link Prediction.,Saadullah Amin; Stalin Varanasi; Katherine Ann Dunfield; Günter Neumann,257-268,12,http://proceedings.mlr.press/v119/amin20a.html,
icml,2020,conf/icml/icml2020,,Discount Factor as a Regularizer in Reinforcement Learning.,Ron Amit; Ron Meir; Kamil Ciosek,269-278,10,http://proceedings.mlr.press/v119/amit20a.html,
icml,2020,conf/icml/icml2020,,"Neuro-Symbolic Visual Reasoning: Disentangling ""Visual"" from ""Reasoning"".",Saeed Amizadeh; Hamid Palangi; Alex Polozov; Yichen Huang; Kazuhito Koishida,279-290,12,http://proceedings.mlr.press/v119/amizadeh20a.html,
icml,2020,conf/icml/icml2020,,The Differentiable Cross-Entropy Method.,Brandon Amos; Denis Yarats,291-302,12,http://proceedings.mlr.press/v119/amos20a.html,
icml,2020,conf/icml/icml2020,,Customizing ML Predictions for Online Algorithms.,Keerti Anand; Rong Ge; Debmalya Panigrahi,303-313,11,http://proceedings.mlr.press/v119/anand20a.html,
icml,2020,conf/icml/icml2020,,Fairwashing explanations with off-manifold detergent.,Christopher J. Anders; Plamen Pasliev; Ann-Kathrin Dombrowski; Klaus-Robert Müller; Pan Kessel,314-323,10,http://proceedings.mlr.press/v119/anders20a.html,
icml,2020,conf/icml/icml2020,,Population-Based Black-Box Optimization for Biological Sequence Design.,Christof Angermüller; David Belanger; Andreea Gane; Zelda Mariet; David Dohan; Kevin Murphy; Lucy J. Colwell; D. Sculley,324-334,11,http://proceedings.mlr.press/v119/angermueller20a.html,
icml,2020,conf/icml/icml2020,,Low-loss connection of weight vectors: distribution-based approaches.,Ivan Anokhin; Dmitry Yarotsky,335-344,10,http://proceedings.mlr.press/v119/anokhin20a.html,
icml,2020,conf/icml/icml2020,,Online metric algorithms with untrusted predictions.,Antonios Antoniadis; Christian Coester; Marek Eliás; Adam Polak; Bertrand Simon,345-355,11,http://proceedings.mlr.press/v119/antoniadis20a.html,
icml,2020,conf/icml/icml2020,,NADS: Neural Architecture Distribution Search for Uncertainty Awareness.,Randy Ardywibowo; Shahin Boluki; Xinyu Gong; Zhangyang Wang; Xiaoning Qian,356-366,11,http://proceedings.mlr.press/v119/ardywibowo20a.html,
icml,2020,conf/icml/icml2020,,Provable Representation Learning for Imitation Learning via Bi-level Optimization.,Sanjeev Arora; Simon S. Du; Sham M. Kakade; Yuping Luo; Nikunj Saunshi,367-376,10,http://proceedings.mlr.press/v119/arora20a.html,
icml,2020,conf/icml/icml2020,,Quantum Boosting.,Srinivasan Arunachalam; Reevu Maity,377-387,11,http://proceedings.mlr.press/v119/arunachalam20a.html,
icml,2020,conf/icml/icml2020,,Black-box Certification and Learning under Adversarial Perturbations.,Hassan Ashtiani; Vinayak Pathak; Ruth Urner,388-398,11,http://proceedings.mlr.press/v119/ashtiani20a.html,
icml,2020,conf/icml/icml2020,,Invertible generative models for inverse problems: mitigating representation error and dataset bias.,Muhammad Asim; Max Daniels; Oscar Leong; Ali Ahmed; Paul Hand,399-409,11,http://proceedings.mlr.press/v119/asim20a.html,
icml,2020,conf/icml/icml2020,,On the Convergence of Nesterov's Accelerated Gradient Method in Stochastic Settings.,Mahmoud Assran; Mike Rabbat,410-420,11,http://proceedings.mlr.press/v119/assran20a.html,
icml,2020,conf/icml/icml2020,,Safe screening rules for L0-regression from Perspective Relaxations.,Alper Atamtürk; Andrés Gómez,421-430,10,http://proceedings.mlr.press/v119/atamturk20a.html,
icml,2020,conf/icml/icml2020,,Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks.,Pranjal Awasthi; Natalie Frank; Mehryar Mohri,431-441,11,http://proceedings.mlr.press/v119/awasthi20a.html,
icml,2020,conf/icml/icml2020,,Sample Amplification: Increasing Dataset Size even when Learning is Impossible.,Brian Axelrod; Shivam Garg; Vatsal Sharan; Gregory Valiant,442-451,10,http://proceedings.mlr.press/v119/axelrod20a.html,
icml,2020,conf/icml/icml2020,,Sparse Convex Optimization via Adaptively Regularized Hard Thresholding.,Kyriakos Axiotis; Maxim Sviridenko,452-462,11,http://proceedings.mlr.press/v119/axiotis20a.html,
icml,2020,conf/icml/icml2020,,Model-Based Reinforcement Learning with Value-Targeted Regression.,Alex Ayoub; Zeyu Jia; Csaba Szepesvári; Mengdi Wang; Lin Yang,463-474,12,http://proceedings.mlr.press/v119/ayoub20a.html,
icml,2020,conf/icml/icml2020,,Forecasting Sequential Data Using Consistent Koopman Autoencoders.,Omri Azencot; N. Benjamin Erichson; Vanessa Lin; Michael W. Mahoney,475-485,11,http://proceedings.mlr.press/v119/azencot20a.html,
icml,2020,conf/icml/icml2020,,Constant Curvature Graph Convolutional Networks.,Gregor Bachmann; Gary Bécigneul; Octavian Ganea,486-496,11,http://proceedings.mlr.press/v119/bachmann20a.html,
icml,2020,conf/icml/icml2020,,Scalable Nearest Neighbor Search for Optimal Transport.,Arturs Backurs; Yihe Dong; Piotr Indyk; Ilya P. Razenshteyn; Tal Wagner,497-506,10,http://proceedings.mlr.press/v119/backurs20a.html,
icml,2020,conf/icml/icml2020,,Agent57: Outperforming the Atari Human Benchmark.,Adrià Puigdomènech Badia; Bilal Piot; Steven Kapturowski; Pablo Sprechmann; Alex Vitvitskyi; Zhaohan Daniel Guo; Charles Blundell,507-517,11,http://proceedings.mlr.press/v119/badia20a.html,
icml,2020,conf/icml/icml2020,,Fiduciary Bandits.,Gal Bahar; Omer Ben-Porat; Kevin Leyton-Brown; Moshe Tennenholtz,518-527,10,http://proceedings.mlr.press/v119/bahar20a.html,
icml,2020,conf/icml/icml2020,,Learning De-biased Representations with Biased Representations.,Hyojin Bahng; Sanghyuk Chun; Sangdoo Yun; Jaegul Choo; Seong Joon Oh,528-539,12,http://proceedings.mlr.press/v119/bahng20a.html,
icml,2020,conf/icml/icml2020,,Deep k-NN for Noisy Labels.,Dara Bahri; Heinrich Jiang; Maya R. Gupta,540-550,11,http://proceedings.mlr.press/v119/bahri20a.html,
icml,2020,conf/icml/icml2020,,Provable Self-Play Algorithms for Competitive Reinforcement Learning.,Yu Bai; Chi Jin,551-560,10,http://proceedings.mlr.press/v119/bai20a.html,
icml,2020,conf/icml/icml2020,,Sparse Subspace Clustering with Entropy-Norm.,Liang Bai; Jiye Liang,561-568,8,http://proceedings.mlr.press/v119/bai20b.html,
icml,2020,conf/icml/icml2020,,Coresets for Clustering in Graphs of Bounded Treewidth.,Daniel N. Baker; Vladimir Braverman; Lingxiao Huang; Shaofeng H.-C. Jiang; Robert Krauthgamer; Xuan Wu,569-579,11,http://proceedings.mlr.press/v119/baker20a.html,
icml,2020,conf/icml/icml2020,,Refined bounds for algorithm configuration: The knife-edge of dual class approximability.,Maria-Florina Balcan; Tuomas Sandholm; Ellen Vitercik,580-590,11,http://proceedings.mlr.press/v119/balcan20a.html,
icml,2020,conf/icml/icml2020,,Ready Policy One: World Building Through Active Learning.,Philip J. Ball; Jack Parker-Holder; Aldo Pacchiano; Krzysztof Choromanski; Stephen J. Roberts,591-601,11,http://proceedings.mlr.press/v119/ball20a.html,
icml,2020,conf/icml/icml2020,,Stochastic Optimization for Regularized Wasserstein Estimators.,Marin Ballu; Quentin Berthet; Francis R. Bach,602-612,11,http://proceedings.mlr.press/v119/ballu20a.html,
icml,2020,conf/icml/icml2020,,Dual Mirror Descent for Online Allocation Problems.,Santiago R. Balseiro; Haihao Lu; Vahab S. Mirrokni,613-628,16,http://proceedings.mlr.press/v119/balseiro20a.html,
icml,2020,conf/icml/icml2020,,Inductive-bias-driven Reinforcement Learning For Efficient Schedules in Heterogeneous Clusters.,Subho S. Banerjee; Saurabh Jha; Zbigniew Kalbarczyk; Ravishankar K. Iyer,629-641,13,http://proceedings.mlr.press/v119/banerjee20a.html,
icml,2020,conf/icml/icml2020,,UniLMv2: Pseudo-Masked Language Models for Unified Language Model Pre-Training.,Hangbo Bao; Li Dong; Furu Wei; Wenhui Wang; Nan Yang; Xiaodong Liu; Yu Wang; Jianfeng Gao; Songhao Piao; Ming Zhou; Hsiao-Wuen Hon,642-652,11,http://proceedings.mlr.press/v119/bao20a.html,
icml,2020,conf/icml/icml2020,,Fast OSCAR and OWL Regression via Safe Screening Rules.,Runxue Bao; Bin Gu; Heng Huang,653-663,11,http://proceedings.mlr.press/v119/bao20b.html,
icml,2020,conf/icml/icml2020,,Option Discovery in the Absence of Rewards with Manifold Analysis.,Amitay Bar; Ronen Talmon; Ron Meir,664-674,11,http://proceedings.mlr.press/v119/bar20a.html,
icml,2020,conf/icml/icml2020,,Learning the piece-wise constant graph structure of a varying Ising model.,Batiste Le Bars; Pierre Humbert; Argyris Kalogeratos; Nicolas Vayatis,675-684,10,http://proceedings.mlr.press/v119/bars20a.html,
icml,2020,conf/icml/icml2020,,Frequency Bias in Neural Networks for Input of Non-Uniform Density.,Ronen Basri; Meirav Galun; Amnon Geifman; David W. Jacobs; Yoni Kasten; Shira Kritchman,685-694,10,http://proceedings.mlr.press/v119/basri20a.html,
icml,2020,conf/icml/icml2020,,Private Query Release Assisted by Public Data.,Raef Bassily; Albert Cheu; Shay Moran; Aleksandar Nikolov; Jonathan R. Ullman; Zhiwei Steven Wu,695-703,9,http://proceedings.mlr.press/v119/bassily20a.html,
icml,2020,conf/icml/icml2020,,ECLIPSE: An Extreme-Scale Linear Program Solver for Web-Applications.,Kinjal Basu; Amol Ghoting; Rahul Mazumder; Yao Pan,704-714,11,http://proceedings.mlr.press/v119/basu20a.html,
icml,2020,conf/icml/icml2020,,On Second-Order Group Influence Functions for Black-Box Predictions.,Samyadeep Basu; Xuchen You; Soheil Feizi,715-724,10,http://proceedings.mlr.press/v119/basu20b.html,
icml,2020,conf/icml/icml2020,,Kernel interpolation with continuous volume sampling.,Ayoub Belhadji; Rémi Bardenet; Pierre Chainais,725-735,11,http://proceedings.mlr.press/v119/belhadji20a.html,
icml,2020,conf/icml/icml2020,,Decoupled Greedy Learning of CNNs.,Eugene Belilovsky; Michael Eickenberg; Edouard Oyallon,736-745,10,http://proceedings.mlr.press/v119/belilovsky20a.html,
icml,2020,conf/icml/icml2020,,The Cost-free Nature of Optimally Tuning Tikhonov Regularizers and Other Ordered Smoothers.,Pierre Bellec; Dana Yang,746-755,10,http://proceedings.mlr.press/v119/bellec20a.html,
icml,2020,conf/icml/icml2020,,Defense Through Diverse Directions.,Christopher M. Bender; Yang Li; Yifeng Shi; Michael K. Reiter; Junier Oliva,756-766,11,http://proceedings.mlr.press/v119/bender20a.html,
icml,2020,conf/icml/icml2020,,Interference and Generalization in Temporal Difference Learning.,Emmanuel Bengio; Joelle Pineau; Doina Precup,767-777,11,http://proceedings.mlr.press/v119/bengio20a.html,
icml,2020,conf/icml/icml2020,,Preselection Bandits.,Viktor Bengs; Eyke Hüllermeier,778-787,10,http://proceedings.mlr.press/v119/bengs20a.html,
