venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,"Forty-first International Conference on Machine Learning, ICML 2024, Vienna, Austria, July 21-27, 2024.",,,0,https://openreview.net/group?id=ICML.cc/2024/Conference,
icml,2024,conf/icml/icml2024,,Probabilistic Inference in Language Models via Twisted Sequential Monte Carlo.,Stephen Zhao; Rob Brekelmans; Alireza Makhzani; Roger Baker Grosse,,0,https://openreview.net/forum?id=frA0NNBS1n,
icml,2024,conf/icml/icml2024,,Position: Open-Endedness is Essential for Artificial Superhuman Intelligence.,Edward Hughes; Michael D. Dennis; Jack Parker-Holder; Feryal M. P. Behbahani; Aditi Mavalankar; Yuge Shi; Tom Schaul; Tim Rocktäschel,,0,https://openreview.net/forum?id=Bc4vZ2CX7E,
icml,2024,conf/icml/icml2024,,Stop Regressing: Training Value Functions via Classification for Scalable Deep RL.,Jesse Farebrother; Jordi Orbay; Quan Vuong; Adrien Ali Taïga; Yevgen Chebotar; Ted Xiao; Alex Irpan; Sergey Levine; Pablo Samuel Castro; Aleksandra Faust; Aviral Kumar; Rishabh Agarwal,,0,https://openreview.net/forum?id=dVpFKfqF3R,
icml,2024,conf/icml/icml2024,,Improving Transformers with Dynamically Composable Multi-Head Attention.,Da Xiao; Qingye Meng; Shengping Li; Xingyuan Yuan,,0,https://openreview.net/forum?id=RbiBKPtuHp,
icml,2024,conf/icml/icml2024,,Learning Useful Representations of Recurrent Neural Network Weight Matrices.,Vincent Herrmann; Francesco Faccio; Jürgen Schmidhuber,,0,https://openreview.net/forum?id=QBj7Uurdwf,
icml,2024,conf/icml/icml2024,,Evolution of Heuristics: Towards Efficient Automatic Algorithm Design Using Large Language Model.,Fei Liu; Xialiang Tong; Mingxuan Yuan; Xi Lin; Fu Luo; Zhenkun Wang; Zhichao Lu; Qingfu Zhang,,0,https://openreview.net/forum?id=BwAkaxqiLB,
icml,2024,conf/icml/icml2024,,SceneCraft: An LLM Agent for Synthesizing 3D Scenes as Blender Code.,Ziniu Hu; Ahmet Iscen; Aashi Jain; Thomas Kipf; Yisong Yue; David A. Ross; Cordelia Schmid; Alireza Fathi,,0,https://openreview.net/forum?id=gAyzjHw2ml,
icml,2024,conf/icml/icml2024,,Doubly Robust Causal Effect Estimation under Networked Interference via Targeted Learning.,Weilin Chen; Ruichu Cai; Zeqin Yang; Jie Qiao; Yuguang Yan; Zijian Li; Zhifeng Hao,,0,https://openreview.net/forum?id=5lI9wm4dws,
icml,2024,conf/icml/icml2024,,Emergent Equivariance in Deep Ensembles.,Jan E. Gerken; Pan Kessel,,0,https://openreview.net/forum?id=plXXbXjvQ9,
icml,2024,conf/icml/icml2024,,Evaluation of LLMs on Syntax-Aware Code Fill-in-the-Middle Tasks.,Linyuan Gong; Sida Wang; Mostafa Elhoushi; Alvin Cheung,,0,https://openreview.net/forum?id=jKYyFbH8ap,
icml,2024,conf/icml/icml2024,,Position: Automatic Environment Shaping is the Next Frontier in RL.,Younghyo Park; Gabriel B. Margolis; Pulkit Agrawal,,0,https://openreview.net/forum?id=dslUyy1rN4,
icml,2024,conf/icml/icml2024,,Online Matching with Stochastic Rewards: Provable Better Bound via Adversarial Reinforcement Learning.,Qiankun Zhang; Aocheng Shen; Boyu Zhang; Hanrui Jiang; Bingqian Du,,0,https://openreview.net/forum?id=TujtZgdRxB,
icml,2024,conf/icml/icml2024,,"Position: Beyond Personhood: Agency, Accountability, and the Limits of Anthropomorphic Ethical Analysis.",Jessica Dai,,0,https://openreview.net/forum?id=4XlGXIh2BB,
icml,2024,conf/icml/icml2024,,Transformers Learn Nonlinear Features In Context: Nonconvex Mean-field Dynamics on the Attention Landscape.,Juno Kim; Taiji Suzuki,,0,https://openreview.net/forum?id=xm2lU7tteQ,
icml,2024,conf/icml/icml2024,,Monitoring AI-Modified Content at Scale: A Case Study on the Impact of ChatGPT on AI Conference Peer Reviews.,Weixin Liang; Zachary Izzo; Yaohui Zhang; Haley Lepp; Hancheng Cao; Xuandong Zhao; Lingjiao Chen; Haotian Ye; Sheng Liu; Zhi Huang; Daniel A. McFarland; James Y. Zou,,0,https://openreview.net/forum?id=bX3J7ho18S,
icml,2024,conf/icml/icml2024,,Locality-Sensitive Hashing-Based Efficient Point Transformer with Applications in High-Energy Physics.,Siqi Miao; Zhiyuan Lu; Mia Liu; Javier M. Duarte; Pan Li,,0,https://openreview.net/forum?id=vJx6fld6l0,
icml,2024,conf/icml/icml2024,,Unified Training of Universal Time Series Forecasting Transformers.,Gerald Woo; Chenghao Liu; Akshat Kumar; Caiming Xiong; Silvio Savarese; Doyen Sahoo,,0,https://openreview.net/forum?id=Yd8eHMY1wz,
icml,2024,conf/icml/icml2024,,Position: Opportunities Exist for Machine Learning in Magnetic Fusion Energy.,Lucas Spangher; Allen M. Wang; Andrew Maris; Myles Stapelberg; Viraj Mehta; Alex Saperstein; Stephen Lane-Walsh; Akshata Kishore Moharir; Alessandro Pau; Cristina Rea,,0,https://openreview.net/forum?id=arwP5FA2dO,
icml,2024,conf/icml/icml2024,,Robust CLIP: Unsupervised Adversarial Fine-Tuning of Vision Embeddings for Robust Large Vision-Language Models.,Christian Schlarmann; Naman Deep Singh; Francesco Croce; Matthias Hein,,0,https://openreview.net/forum?id=WLPhywf1si,
icml,2024,conf/icml/icml2024,,Less is More: on the Over-Globalizing Problem in Graph Transformers.,Yujie Xing; Xiao Wang; Yibo Li; Hai Huang; Chuan Shi,,0,https://openreview.net/forum?id=uKmcyyrZae,
icml,2024,conf/icml/icml2024,,GaLore: Memory-Efficient LLM Training by Gradient Low-Rank Projection.,Jiawei Zhao; Zhenyu Zhang; Beidi Chen; Zhangyang Wang; Anima Anandkumar; Yuandong Tian,,0,https://openreview.net/forum?id=hYHsrKDiX7,
icml,2024,conf/icml/icml2024,,PrE-Text: Training Language Models on Private Federated Data in the Age of LLMs.,Charlie Hou; Akshat Shrivastava; Hongyuan Zhan; Rylan Conway; Trang Le; Adithya Sagar; Giulia Fanti; Daniel Lazar,,0,https://openreview.net/forum?id=3WCvnkHnxV,
icml,2024,conf/icml/icml2024,,Compressible Dynamics in Deep Overparameterized Low-Rank Learning & Adaptation.,Can Yaras; Peng Wang; Laura Balzano; Qing Qu,,0,https://openreview.net/forum?id=uDkXoZMzBv,
icml,2024,conf/icml/icml2024,,Position: Technical Research and Talent is Needed for Effective AI Governance.,Anka Reuel; Lisa Soder; Benjamin Bucknall; Trond Arne Undheim,,0,https://openreview.net/forum?id=Be2B6f0ps1,
icml,2024,conf/icml/icml2024,,Bottleneck-Minimal Indexing for Generative Document Retrieval.,Xin Du; Lixin Xiu; Kumiko Tanaka-Ishii,,0,https://openreview.net/forum?id=MFPYCvWsNR,
icml,2024,conf/icml/icml2024,,Hybrid2 Neural ODE Causal Modeling and an Application to Glycemic Response.,Bob Junyi Zou; Matthew E. Levine; Dessi P. Zaharieva; Ramesh Johari; Emily B. Fox,,0,https://openreview.net/forum?id=GHZVjmaGQM,
icml,2024,conf/icml/icml2024,,FedMBridge: Bridgeable Multimodal Federated Learning.,Jiayi Chen; Aidong Zhang,,0,https://openreview.net/forum?id=jrHUbftLd6,
