venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
ndss,2022,conf/ndss/ndss2022,,"29th Annual Network and Distributed System Security Symposium, NDSS 2022, San Diego, California, USA, April 24-28, 2022.",,,0,https://www.ndss-symposium.org/ndss2022/,
ndss,2022,conf/ndss/ndss2022,,"ROV-MI: Large-Scale, Accurate and Efficient Measurement of ROV Deployment.",Wenqi Chen; Zhiliang Wang; Dongqi Han; Chenxin Duan; Xia Yin; Jiahai Yang; Xingang Shi,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-183/,
ndss,2022,conf/ndss/ndss2022,,HeadStart: Efficiently Verifiable and Low-Latency Participatory Randomness Generation at Scale.,Hsun Lee; Yuming Hsu; Jing-Jie Wang; Hao-Cheng Yang; Yu-Heng Chen; Yih-Chun Hu; Hsu-Chun Hsiao,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-184/,
ndss,2022,conf/ndss/ndss2022,,PMTUD is not Panacea: Revisiting IP Fragmentation Attacks against TCP.,Xuewei Feng; Qi Li; Kun Sun; Ke Xu; Baojun Liu; Xiaofeng Zheng; Qiushi Yang; Haixin Duan; Zhiyun Qian,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-185/,
ndss,2022,conf/ndss/ndss2022,,Subverting Stateful Firewalls with Protocol States.,Amit Klein,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-186/,
ndss,2022,conf/ndss/ndss2022,,PHYjacking: Physical Input Hijacking for Zero-Permission Authorization Attacks on Android.,Xianbo Wang; Shangcheng Shi; Yikang Chen; Wing Cheong Lau,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-187/,
ndss,2022,conf/ndss/ndss2022,,GhostTalk: Interactive Attack on Smartphone Voice System Through Power Line.,Yuanda Wang; Hanqing Guo; Qiben Yan,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-188/,
ndss,2022,conf/ndss/ndss2022,,The Droid is in the Details: Environment-aware Evasion of Android Sandboxes.,Brian Kondracki; Babak Amin Azad; Najmeh Miramirkhani; Nick Nikiforakis,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-189/,
ndss,2022,conf/ndss/ndss2022,,Uncovering Cross-Context Inconsistent Access Control Enforcement in Android.,Hao Zhou; Haoyu Wang; Xiapu Luo; Ting Chen; Yajin Zhou; Ting Wang,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-190/,
ndss,2022,conf/ndss/ndss2022,,Evaluating Susceptibility of VPN Implementations to DoS Attacks Using Adversarial Testing.,Fabio Streun; Joel Wanner; Adrian Perrig,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-191/,
ndss,2022,conf/ndss/ndss2022,,The Truth Shall Set Thee Free: Enabling Practical Forensic Capabilities in Smart Environments.,Leonardo Babun; Amit Kumar Sikder; Abbas Acar; A. Selcuk Uluagac,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-192/,
ndss,2022,conf/ndss/ndss2022,,LogicMEM: Automatic Profile Generation for Binary-Only Memory Forensics via Logic Inference.,Zhenxiao Qi; Yu Qu; Heng Yin,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-193/,
ndss,2022,conf/ndss/ndss2022,,Forensic Analysis of Configuration-based Attacks.,Muhammad Adil Inam; Wajih Ul Hassan; Ali Ahad; Adam Bates; Rashid Tahir; Tianyin Xu; Fareed Zaffar,,0,https://www.ndss-symposium.org/ndss-paper/auto-draft-194/,
