venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
nips,2020,conf/nips/neurips2020,,"Advances in Neural Information Processing Systems 33: Annual Conference on Neural Information Processing Systems 2020, NeurIPS 2020, December 6-12, 2020, virtual.",Hugo Larochelle; Marc'Aurelio Ranzato; Raia Hadsell; Maria-Florina Balcan; Hsuan-Tien Lin,,0,https://proceedings.neurips.cc/paper/2020,
nips,2020,conf/nips/neurips2020,,A graph similarity for deep learning.,Seongmin Ok,,0,https://proceedings.neurips.cc/paper/2020/hash/0004d0b59e19461ff126e3a08a814c33-Abstract.html,
nips,2020,conf/nips/neurips2020,,An Unsupervised Information-Theoretic Perceptual Quality Metric.,Sangnie Bhardwaj; Ian Fischer; Johannes Ballé; Troy T. Chinen,,0,https://proceedings.neurips.cc/paper/2020/hash/00482b9bed15a272730fcb590ffebddd-Abstract.html,
nips,2020,conf/nips/neurips2020,,Self-Supervised MultiModal Versatile Networks.,Jean-Baptiste Alayrac; Adrià Recasens; Rosalia Schneider; Relja Arandjelovic; Jason Ramapuram; Jeffrey De Fauw; Lucas Smaira; Sander Dieleman; Andrew Zisserman,,0,https://proceedings.neurips.cc/paper/2020/hash/0060ef47b12160b9198302ebdb144dcf-Abstract.html,
nips,2020,conf/nips/neurips2020,,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method.",Simiao Ren; Willie Padilla; Jordan M. Malof,,0,https://proceedings.neurips.cc/paper/2020/hash/007ff380ee5ac49ffc34442f5c2a2b86-Abstract.html,
nips,2020,conf/nips/neurips2020,,Off-Policy Evaluation and Learning for External Validity under a Covariate Shift.,Masatoshi Uehara; Masahiro Kato; Shota Yasui,,0,https://proceedings.neurips.cc/paper/2020/hash/0084ae4bc24c0795d1e6a4f58444d39b-Abstract.html,
nips,2020,conf/nips/neurips2020,,Neural Methods for Point-wise Dependency Estimation.,Yao-Hung Hubert Tsai; Han Zhao; Makoto Yamada; Louis-Philippe Morency; Ruslan Salakhutdinov,,0,https://proceedings.neurips.cc/paper/2020/hash/00a03ec6533ca7f5c644d198d815329c-Abstract.html,
nips,2020,conf/nips/neurips2020,,Fast and Flexible Temporal Point Processes with Triangular Maps.,Oleksandr Shchur; Nicholas Gao; Marin Bilos; Stephan Günnemann,,0,https://proceedings.neurips.cc/paper/2020/hash/00ac8ed3b4327bdd4ebbebcb2ba10a00-Abstract.html,
nips,2020,conf/nips/neurips2020,,Backpropagating Linearly Improves Transferability of Adversarial Examples.,Yiwen Guo; Qizhang Li; Hao Chen,,0,https://proceedings.neurips.cc/paper/2020/hash/00e26af6ac3b1c1c49d7c3d79c60d000-Abstract.html,
nips,2020,conf/nips/neurips2020,,PyGlove: Symbolic Programming for Automated Machine Learning.,Daiyi Peng; Xuanyi Dong; Esteban Real; Mingxing Tan; Yifeng Lu; Gabriel Bender; Hanxiao Liu; Adam Kraft; Chen Liang; Quoc Le,,0,https://proceedings.neurips.cc/paper/2020/hash/012a91467f210472fab4e11359bbfef6-Abstract.html,
nips,2020,conf/nips/neurips2020,,Fourier Sparse Leverage Scores and Approximate Kernel Learning.,Tamás Erdélyi; Cameron Musco; Christopher Musco,,0,https://proceedings.neurips.cc/paper/2020/hash/012d9fe15b2493f21902cd55603382ec-Abstract.html,
nips,2020,conf/nips/neurips2020,,Improved Algorithms for Online Submodular Maximization via First-order Regret Bounds.,Nicholas J. A. Harvey; Christopher Liaw; Tasuku Soma,,0,https://proceedings.neurips.cc/paper/2020/hash/0163cceb20f5ca7b313419c068abd9dc-Abstract.html,
nips,2020,conf/nips/neurips2020,,Synbols: Probing Learning Algorithms with Synthetic Datasets.,Alexandre Lacoste; Pau Rodríguez López; Frederic Branchaud-Charron; Parmida Atighehchian; Massimo Caccia; Issam Hadj Laradji; Alexandre Drouin; Matt Craddock; Laurent Charlin; David Vázquez,,0,https://proceedings.neurips.cc/paper/2020/hash/0169cf885f882efd795951253db5cdfb-Abstract.html,
nips,2020,conf/nips/neurips2020,,Adversarially Robust Streaming Algorithms via Differential Privacy.,Avinatan Hassidim; Haim Kaplan; Yishay Mansour; Yossi Matias; Uri Stemmer,,0,https://proceedings.neurips.cc/paper/2020/hash/0172d289da48c48de8c5ebf3de9f7ee1-Abstract.html,
